standardized_disease,list_of_diseases_fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf_fuzzy_tfidf
infeksi streptococcus,"['strep pneumokokus peka', 'streptococcus pyogenes', 'streptococcus epidermidis', 'streptococcus viridans', 'streptococus', 's pyogenes', 'luka terinfeksi disebabkan oleh streptococcus pyogenes', 'infeksi streptococcus', 'infeksi strep', 'streptococcus faecalis', 'strep hemolitikus', 'streptococcus', 'infkesi disebabkan strain streptococci', 'streptococci', 'hemolitikus', 'streptococcus hemolyticus', 'strep']"
infeksi telinga,"['infeksi telinga hidung tenggorokan', 'infeksi telinga', 'infeksi rongga telinga', 'inteksi tulang']"
infeksi tulang,"['infeksi tulang persendian', 'infeksi tulang sendi', 'infeksi tulang']"
infeksi urethral,['infeksi urethral']
infeksi usus,"['infeksi usus', 'infeksi traktus gastrointestinal']"
infeksi vagina,"['candida albikans', 'infeksi vagina campuran trichomonas vaginalis candida albicans', 'trichomonas vaginalis candida albicans', 'candida albicans', 'infeksi vagina disebabkan trichomonas vaginalis', 'infeksi vagina', 'infeksi vagina campuran', 'infeksi vagina disebabkan candida albicans']"
infeksi virus,['infeksi virus']
inflamasi,"['keadaan inflamasi', 'inflamasi degeneratif', 'inflamasi', 'inflamasi lokal', 'inflamasi bentuk degeneratif reumatik', 'inflamasi palpebral']"
inflamasi dermatosis,"['nyeri radanginflamasi dermatosis', 'inflamasi gejala pruritus dermatosis responsif kortikosteroid', 'inflamasi dermatosis', 'inflamasi dermatosis responsif kortikosteroid terkomplikasi infeksi sekunder disebabkan organisme rentan neomisin']"
inflamasi kulit,['inflamasi kulit']
inflamasi mata,"['penyakit inflamasi bola mata eksternal anterior', 'inflamasi mata responsif steroid', 'inflamasi bola mata eksternal anterior', 'inflamasi mata']"
inflamasi okular,"['inflamasi gangguan ocular', 'inflamasi peradangan okular', 'gangguan inflamasi ocular', 'inflamasi okular']"
inflamasi pasca operasi,"['inflamasi pasca operasi', 'radang pasca operasi katarak', 'inflamasi paska operasi', 'inflamasi paska operasi katarak']"
inflamasi pelvis,['inflamasi pelvis']
inflamasi trauma,"['inflamasi trauma', 'inflamasi traumatik']"
inkontinensia tinja,['inkontinensia tinja']
inkontinensia urine,['inkontinensia urin']
insomnia,['insomnia']
insufisiensi koroner,"['insufisiensi koroner', 'insufisiensi koroner kronik']"
insufisiensi vena,['insufisiensi vena']
intertrigo,"['intergo', 'intertrigo']"
intoleransi makanan,"['intoleransi terhadap makanan', 'intoleransi terhadap makanan salah cerna']"
intoleransi obat,"['intoleransi obat', 'intoleransi terhadap obat sitotoksik']"
intra abdominal,['intra abdominal']
iritasi,"['iritasi', 'iriasi', 'iriasi ringan', 'iritasi ringan', 'teriritasi lingkungan']"
iritasi hidung,"['iritasi hidung', 'iritasi hidung ringan', 'iritasi hidung minor', 'iriasi hidung']"
iritasi kulit,"['iritasi kulit sengatan matahari', 'iritasi kulit']"
iritasi mata,"['iritasi ringan mata', 'iriasi mata', 'iritasi minor mata', 'iritasi mata', 'iritasi mata ringan']"
iritasi mulut,"['iritasi ringan mulut', 'iritasi mulut']"
iritasi saluran pernapasan,"['iritasi saluran nafas lainnya', 'iritasi membran mukosa saluran nafas', 'iritasi membran mukosa']"
iritasi usus,['iritasi usus']
iskemia,"['iskemia ulkus', 'iskemia', 'iskemia miokardial', 'iskemia miokard']"
jamur kulit,"['jamur pada kulit', 'jamur lipatan kulit', 'jamur kulit']"
jerawat,"['jerawat parah', 'aknejerawat berisi nanah', 'jerawat', 'jerawat berat', 'jerawatakne vulgaris', 'infeksi jerawat', 'jerawat berisi nanah', 'jerawat bisul']"
jerawat batu,['jerawat batu']
kaku otot sendi,"['kaku', 'rasa kaku otot', 'kekakuan sendi']"
kandidemia,['kandidemia']
kandidiasis kulit,"['kandidiasis kulit', 'kandidasis kutan']"
kandidiasis mukosal,"['kandidiasis mukokutan khronis', 'kandidiasis mukokutan kulit mukosa khronik', 'kandidiasis mukokutan kulit  mukosa khronik tidak responsif nistatin obat kandidiasis vaginal', 'kandidiasis mukokutan kulit  mukosa khronik', 'kandidiasis mukokutan kulit mukosa khronik tidak responsif nistatin obat kandidiasis vaginal', 'kandidiasis mukokutan kronis', 'kandidiasi mukosa', 'kandidiasis mukosal']"
kandidiasis oral,"['kandidiasis orofaringe', 'infeksi orofaringeal', 'kandidiasis orofaringeal  esofageal', 'atopik oral kandidiasis', 'kandidiasis oral', 'kandidiasis mulut dermatomikosis', 'kandidiasis oral infeksi jamur rongga mulut', 'kandidosis oral', 'kandidiasis mulut', 'kandidiasis rongga mulut', 'kandidiasis orofaringeal esofageal', 'kandidiasis orofaringeal', 'orofaringeal']"
kandidiasis vaginalis,"['kandidiasis vulvovaginal', 'kandidosis vaginal', 'kandidiasis vaginal', 'kandidiasis vagina']"
kanker,"['penyakit kanker', 'sel kanker', 'kanker emetogenik', 'kanker', 'pasien kanker', 'nyeri kanker']"
kanker darah,['kanker darah']
kanker hati,['kanker hati']
kanker kandung kemih,['kanker kandung kemih']
kanker lambung,['kanker lambung']
kanker paru-paru,"['kanker paru', 'kanker paru paru']"
kanker payudara,"['kanker payudara stadium lanjut', 'karsinoma payudara', 'kanker payudara', 'kanker payudara stadium dini', 'kanker payudara stadium lokal lanjutmetastasis', 'kanker payu dara']"
kanker prostat,['kanker prostat']
kanker rahim,"['kanker rahim', 'karsinoma endometrium']"
kanker tenggorokan,['kanker tenggorokan']
kapalan,"['kapalan', 'kalus kapalan', 'kalos kapalan']"
kardiomiopati,['cardiomiopati obstruktif hipertrofik']
katarak,"['katarak', 'katarak sinilis', 'katarak senilis', 'mata katarak']"
kejang,"['kejang otot', 'kejang bronkus', 'kejang']"
kelahiran prematur,"['persalinan terancam prematur', 'prematur', 'persalinan prematur mengancam', 'ancaman kelahiran prematur']"
kelainan darah,['kelainan darah']
kelainan fibroid,['kelainan fibroid']
kelainan kulit,"['kelainan kulit', 'kelainan kulit alergis kronis']"
kelainan muskuloskeletal akut,['kelainan muskuloskeletal akut']
kelainan periodontal,['kelainan periodontal']
kelainan saraf,['kelainan saraf']
kelebihan asam lambung,"['kelebihan asam lambung', 'gejala berhubungan kelebihan asam lambung']"
kelumpuhan otot,"['kelumpuhan otot', 'kelumpuhan otot otot wajah']"
kelumpuhan saraf,['kelumpuhan saraf']
kencing manis,['kencing manis']
keputihan,"['gatal akibat keputihan', 'keputihan']"
keracunan,['keracunan']
keracunan alkohol,"['intoksinasi alkohol', 'keracunan alkohol']"
keracunan darah,"['septikemia keracunan darah bakteri patogenik zat zat dihasilkan bakteri', 'septikemia keracunan darah bakteri', 'keracunan darh oleh bakteri patogenik', 'keracunan darah', 'keracunan darh bakteri patogenik']"
keracunan hati,['keracunan hati']
keracunan obat,"['keracunan obat', 'overdosis parasetamol', 'keracunan parasetamol']"
keratitis,"['keratitis fungal', 'keratitis dendritis', 'keratitis akut', 'keratitis metaherpetikum erosi kornea virus herpes', 'keratitis', 'fungal keratitis', 'keratitis kronik', 'keratitis gangguan peradangan okular', 'keratitis jamur', 'keratitis bakterial', 'keratitis metaherpetikum', 'keratitis superfisial nonspesifik', 'keratitis akibat infeksi virus superfisial']"
keratokonjungtivitis,"['keratokonjungtivitis sicca', 'keratokonjungtivitis']"
keratosis pilaris,['keratosis pilaris']
kesehatan hati,['kesehatan hati']
keseleo,"['sprains', 'keseleo', 'kesleo', 'keseleo terkilir', 'keseleo tegang', 'sprain', 'sprains keseleo', 'memar keseleo']"
kesemutan,['kesemutan']
ketombe,"['ketombe dikulit kepala', 'ketombe', 'ketombe disebabkan pytirosporum ovale']"
kista,"['miom kista', 'kista']"
klaudikasio intermiten,"['klaudikasio intermiten', 'klaudikasi intermiten']"
kolera,['kolera']
kolesterol,"['kolesterol', 'kolesterol jahat', 'lemak jahat', 'kolesterol ldl', 'kolesterol total']"
kolik,"['kolik abdomen', 'nyeri kolik', 'kholik', 'sakit kolik', 'kolik', 'kolik empedu']"
kolik ginjal,"['kolik ginjal', 'kolik empedu ginjal', 'kolik ginjal empedu']"
kolik kandung kemih,"['kolik kandung kemih', 'kolik ginjal kandung kemih']"
koma,"['pre koma hepatik', 'prekoma', 'koma hepatik', 'sistemik prekoma', 'koma', 'prekoma hepatik', 'koma hepatic']"
komedo,"['komedo', 'peradangan dengan komedo']"
komplikasi paru pasca bedah,"['komplikasi paru berhubungan dengan tindakan bedah', 'komplikasi paru pasca bedah']"
konjungtivitis,"['konjungtivitis folikular', 'konjungtivitis', 'konjungtivitis vernal', 'konjungtivitas', 'konjungtivitis bakterial', 'konjungtivitis alergi radang selaput ikat mata akibat alergi', 'konjungtivitis nonpurulen akut kronis', 'konjungtivitis infeksi e', 'konjungtivitis infeksi bakteri', 'konjungktivitis', 'konjungtivitis nonpurulen', 'konjungtivitis alergi']"
konstipasi,"['konstipasi superscript', 'konstipasi kronik', 'konstipasi kronis', 'konstipasi akut', 'konstipasi', 'konstipasi akut kronik', 'konstipasi atoni']"
kram ,"['kram nokturnal', 'kram']"
kram muskuloskeletal,"['kram muskuloskeletal', 'spasmekram muskuloskeletal']"
kram otot,"['spasme kram otot', 'spasme otot', 'nyeri spasme kram otot polo', 'kram otot']"
kram perut,"['kram perut disebabkan oleh menstruasi dysmenorrhea', 'kram perut', 'sakit kram perut']"
kram saluran kemih,['kram saluran kemih kelamin']
kram saluran pencernaan,"['kram saluran cerna', 'kram saluran cerna pylorus']"
kriptokokal,['kriptokokal']
kriptokokosis,"['kriptokokosis non meningeal', 'kriptokokosis', 'kriptokokosis kandidemia', 'kriptokokosis nonmeningeal']"
kriptosporidiosis,"['cryptosporidiosis', 'kriptosporidiosis']"
kudis,"['kudis', 'kadas', 'scabies kudis', 'terapi infestasi sarcoptes scabies scabies', 'scabiei', 'skabies', 'scabies', 'panu kadas']"
kulit kering,['kulit kering']
kurap,"['kadaskurap', 'kurap']"
kutil,"['kutil kalus', 'kutil']"
kutu air,"['kutu air', 'tinea pedis kutu air', 'rangen', 'kutu air rangen', 'tinea pedis', 'tinea manus pedis', 'tinea pedis manum']"
kutu badan,['kutu badan']
kutu rambut,['kutu rambut']
labirinitis,"['labirinitis', 'sindroma meniere labirinitis']"
lambliasis,['lambliasis']
laringitis,"['laryngitis', 'laringitis']"
leher pegal dan kaku,"['leher kaku terkilir', 'pegal leher', 'leher kaku', 'leher kaku bahu']"
lepra,['lepra']
leptospirosis,['leptospirosis']
lesi,"['lesi meradang', 'lesi khronik', 'lesi akut', 'lesi ulseratif']"
lesi kulit,"['lesi2 kulit lainnya', 'lesi2 kulit', 'lesi kulit']"
lesi mukosa,"['lesi mukosa akibat trauma', 'lesi mukosa']"
lesi mulut,['lesi inflamasi oral']
lichen planus,"['likhen planus', 'likhen planus erosif', 'liken planus', 'lichen planus']"
limfogranuloma inguinale,['limfogranuloma inguinale']
luka,"['luka gore', 'luka gores', 'luka minor', 'luka kronik', 'luka']"
luka bakar,"['paparan bahan kimia', 'luka bakar terinfeksi', 'luka bakar ringan', 'luka bakar akibat bahan kimia', 'luka bakar']"
luka mulut,"['ulkus mulut', 'luka2 dalam mulut', 'luka mulut']"
luka tusuk,['luka tusuk']
luka usus,"['luka lambung usus', 'luka usus duodenal', 'luka usus']"
lupus,"['lupus eritematosus', 'lupus eritematosus diskoid tidak respon kortikosteroid aktif', 'lupus eritematosus diskoid kondisi tidak respon kortikosteroid aktif', 'lupus eritematosus discoid', 'lupus', 'lupus eritemmantosus', 'lupus eritematosus diskoid']"
lymphogranuloma,"['limfogranuloma', 'lymphogranuloma']"
lymphomagranuloma,['lymphomagranuloma']
mabuk perjalanan,"['pencegahan mabuk perjalanan', 'mabuk karena kendaraan', 'mabuk perjalanan', 'mabuk', 'mabuk kendaraan']"
makrosomia,['makrosomia']
malaria,"['serangan akut malaria falciparum resisten klorokuin', 'malaria', 'malaria falciparum', 'pencegahan malaria']"
masalah mental,['masalah mental']
masuk angin,"['masuk angin', 'gejala masuk angin']"
mata gatal,"['okular gatal terbakar', 'gatal mata', 'gatal panas mata', 'gatal terbakar mata']"
mata ikan,['mata ikan']
mata kering,"['kekeringan mata', 'sindroma mata kering', 'mata kering']"
mata lelah,['mata lelah']
mata merah,"['mata merah', 'peradangan mata merah', 'iritasi mata merah', 'kemerahan mata']"
melasma,"['melasma', 'melasma derajat sedang hingga berat']"
memar,"['memar benturan', 'terkilir memar', 'memar', 'memar akibat kecelakaan', 'luka memar']"
meningitis,"['meningitis nontbc', 'bakteri gr  menyebabkan meningitis', 'meningitis bakteremia', 'infeksi meningeal', 'bakteri gr menyebabkan meningitis', 'bakteremia meningitis', 'meningitis', 'bakteri gram negatif penyebab bakteria meningitis', 'meningitis disebabkan bakteri gram negatif', 'tuberkulosis meningitis', 'gram negatif menyebabkan bakteremia meningitis', 'meningitis kriptokokal', 'infeksi meningen', 'bakteria meningitis', 'meningitis bakteri gram negatif', 'kuman gram negatif penyebab meningitis bakteremia']"
menopause,"['menopause', 'gangguan pasca menopause']"
meriang,"['sumeng meriang', 'meriang', 'badan meriang']"
mialgia,['mialgia']
migrain,"['serangna migren akut', 'migrain', 'migraine akut', 'migrain akut', 'migren akut', 'migren', 'migraine']"
mikosis,"['mikosis kulit dermatofita', 'mikosis mulut kulit kandida', 'mikosis', 'mikosis sistemik', 'infeksi mikosis sistemik', 'mikosis interdigitalis']"
milia,['milia']
miliaria,"['milliar mentham', 'miliaria mentham', 'miliaria']"
miom,['miom']
molluscum contagiosum,"['moluskum kontagiosum', 'molluscum contagiosum']"
morning sickness,['morning sickness']
mual,"['mual', 'mual akibat radiasi', 'pening mual', 'hiperasiditas mual', 'perut mual', 'mual akut', 'gejala mual', 'rasa mual']"
mual muntah,"['mual muntah pasca pembedahan', 'mual dan muntah karena kemoterapi dan radioterapi', 'maul akut', 'mual muntah akibat kemoterapi', 'mual muntah anak2 akibat kemoterapi radioterapi', 'mual muntah paska operasi', 'mual dan muntah yang disebabkan radioterapi untuk kanker', 'mual muntah disebabkan oleh obat', 'mual dan muntah akibat obat', 'mual atau muntah', 'mual dan muntah karena radioterapi', 'mual dan muntah akibat kemoterapi  radioterapi', 'mual  muntah yang disebabkan kemoterapi  radioterapi untuk kanker', 'mual muntah akibat kemoterapi radioterapi', 'mual muntah akibat radioterapi', 'mual muntah obat', 'mual muntah disebabkan kemoterapi radioterapi untuk kanker', 'mual atau muntah pasca operasi', 'mual dan muntah akut', 'mual dan muntah akibat kemoterapi dan radioterapi', 'mual dan muntah', 'mual muntah akibat obat', 'mual muntah diinduksi obat kemoterapi sitotoksik', 'mual dan muntah yang diinduksi obat kemoterapi sitotoksik', 'mual dan muntah pasca operasi', 'mual muntah dipicu oleh radioterapi', 'mual  muntah akut', 'mual dan muntah akibat radioterapi', 'mual dan muntah pasca pembedahan', 'mual dan muntah yang disebabkan oleh obat', 'mual dan muntah yang dipicu oleh radioterapi', 'mual muntah kemoterapi', 'mual muntah disebabkan radioterapi untuk kanker', 'mual dan muntah pada anak2 akibat kemoterapi  radioterapi', 'mual muntah', 'mual pagi hari', 'mual muntah anak akibat kemoterapi radioterapi', 'mual muntah kemoterapi radioterapi', 'mual dan muntah akibat penggunaal levodopa dan bromokriptin', 'mual muntah kehamilan', 'mual muntah kemoterapi emetogenik', 'mual muntah akibat gangguan metabolik pasca operasi', 'mual  muntah', 'mual dan muntah paska operasi', 'mual meriang', 'mualmuntah paska operasi', 'mual dan muntah akibat kemoterapi', 'mual muntah radioterapi', 'mual muntah pasca operasi', 'mual dan muntah karena kemoterapi', 'mual dan muntah yang disebabkan kemoterapi', 'mual muntah akibat penggunaal levodopa bromokriptin', 'mual di pagi hari', 'mual muntah akut', 'mual paska operasi', 'mual dan muntah pada anak akibat kemoterapi dan radioterapi', 'maul', 'mual muntah disebabkan kemoterapi', 'mual dan muntah karena obat', 'mual  muntah yang disebabkan kemoterapi']"
mulut kering,['mulut kering']
muntah,"['muntah saat hamil', 'muntah  muntah', 'muntahmuntah', 'muntahmuntah levodopa', 'muntah saat perjalanan', 'muntah akut', 'muntahmuntah karena levodopa', 'muntah ringan', 'muntah', 'muntah kehamilan', 'muntah dalam perjalanan diderita jika mempergunakan kendaraan bermotor kapal kereta api pesawat udara', 'mual paska anestesi', 'muntah pasca operasi', 'muntah dalam perjalanan yang diderita jika mempergunakan kendaraan bermotor kapal kereta api atau pesawat udara', 'muntah dalam perjalanan', 'muntah paska operasi', 'maul akut muntahmuntah', 'muntahmuntah karena bromokriptin', 'muntahmuntah bromokriptin', 'muntah muntah', 'muntah paska anestesi', 'muntah pada kehamilan']"
myasthenia gravis,"['miastenia gravis', 'myasthenia gravis']"
myositis,"['miositis', 'myositis']"
nefropati,['nefropati']
nefropati diabetik,['nefropati diabetik']
nerd,"['nonerosive reflux disease', 'nerd', 'nonerosive reflux disease nerd', 'gangguan refluks non erosive']"
neuralgia,['neuralgia']
neuritis,"['neuritis kehamilan', 'neuritis perifer', 'neuritis neuralgia', 'neuritis reumatik', 'neuritis']"
neuritis optik,"['neuritis optika', 'neuritis optik']"
neurodermatitis,"['neurodermatitis', 'neurodermatitis kontak', 'neuro-dermatitis', 'neurodermatitis lokalisata']"
neuropati,"['neuropati', 'neuropati vagal diabetikum']"
neuropati diabetik,"['neuropati diabetika', 'neuropati diabetik']"
neuropati perifer,['neuropati perifer']
nistagmus,['nistagmus']
nyeri,"['nyeri sedang berat', 'nyeri sakit', 'nyeri lain', 'nyeri akibat memar', 'rasa nyeri akut', 'sakit nyeri ringan', 'rasa nyeri kronik', 'nyeri berat', 'nyeri kronis akut', 'nyeri ringan', 'rasa nyeri', 'sakitnyeri', 'nyeri akut derajat berat', 'nyeri akut', 'meredakan rasa nyeri', 'nyeri']"
nyeri bahu,"['nyeri bahu', 'nyeri otot bahu', 'rasa sakit otot bahu', 'nyeri otot leher bahu punggung']"
nyeri cedera,"['nyeri cedera', 'nyeri terkilir', 'nyeri akibat terkilir terpukul']"
nyeri gigi,"['meredakan nyeri gigi ringan', 'nyeri gigi ringan hingga sedang', 'nyeri gigi', 'nyeri gigi sedang', 'nyeri gigi ringan']"
nyeri inflamasi,['nyeri inflamasi']
nyeri kaki,['nyeri kaki']
nyeri kepala,['nyeri kepala']
nyeri lambung,"['nyeri paroksismal penyakit lambung usus halus', 'nyeri lambung', 'nyeri paroxismal lambung', 'nyeri paroksismal', 'nyeri lambung ulu hati', 'nyeri paroxismal usus halus', 'nyeri paroksismal lambung usus halus', 'nyeri paroxismal lambung usus halus']"
nyeri leher,"['nyeri otot leher', 'nyeri leher', 'sakit otot leher', 'rasa sakit leher', 'sakit otot leher pundak']"
nyeri lutut,['nyeri lutut']
nyeri muskuloskeletal,"['nyeri muskuloskeletal lain', 'nyeri musculoskeletal akut', 'nyeri muskuloskeletal kronis', 'nyeri muskuloskeletal akut', 'nyeri muskuloskeletal', 'nyeri muskuloskeletal kronik']"
nyeri otot,"['nyeri otot', 'nyeri ringan sedang otot', 'nyeri otot olahraga', 'rasa sakit otot olahraga']"
nyeri pasca bedah,"['nyeri paska bedah', 'nyeri akut berhubungan dengan bedah gigi', 'nyeri pascabedah', 'nyeri lokal paska bedah mulut', 'nyeri paskabedah']"
nyeri pasca operasi,"['nyeri pasca bedah', 'nyeri pasca operasi derajat', 'nyeri akut terkait dengan operasi gigi', 'nyeri yang muncul setelah operasi', 'nyeri inflamasi pasca op', 'sakit setelah operasi', 'nyeri sesudah operasi', 'pencabutan gigi nyeri operasi', 'nyeri perut sehabis operasi', 'nyeri muncul setelah operasi', 'nyeri sehabis melahirkan', 'nyeri sehabis operasi', 'setelah operasi', 'nyeri setelah traumapasca operasi', 'nyeri paska operasi', 'nyeri pasca operasi pasca bedah gigi tulang', 'nyeri pasca operasi', 'nyeri cabut gigi', 'nyeri pasca op', 'nyeri persalinan', 'meredakan nyeri pasca operasi', 'nyeri sesudah pembedahan', 'nyeri operasi', 'nyeri akut pembedahan gigi', 'nyeri pasca operasi cabut gigi']"
nyeri pasca partum,"['nyeri pasca partum', 'pasca partum']"
nyeri pasca trauma,"['nyeri pasca trauma', 'nyeri inflamasi pasca trauma terkilir', 'nyeri akibat trauma', 'nyeri traumatik', 'nyeri setelah traumatik', 'nyeri trauma', 'nyeri trauma operasi', 'nyeri inflamasi pasca trauma']"
nyeri pasca vaksinasi,['nyeri pasca vaksinasi']
nyeri perut,['nyeri perut']
nyeri pinggang,"['nyeri pinggang', 'nyeri otot pinggang']"
nyeri pundak,['nyeri pundak']
nyeri punggung,"['nyeri kolumna vertebra', 'nyeri dipunggung', 'sakit nyeri punggung', 'nyeri tulang punggung', 'nyeri kolumna vertebra tulang punggung', 'nyeri pada punggung', 'nyeri punggung', 'nyeri otot punggung']"
nyeri saraf,"['neuralgia nyeri saraf migren', 'neuralgia nyeri saraf', 'nyeri saraf']"
nyeri sendi,"['nyeri otot sendi', 'pegal linu nyeri sendi', 'pegal nyeri sendi', 'nyeri pegalpegal otot sendi', 'nyeri sendi', 'nyeri sendi akibat reumatik', 'nyeri persendian']"
nyeri spastik,"['nyeri spastik sistem genital wanita', 'nyeri paroxismal lambung usus halus nyeri spastik saluran empedu saluran kemih organ genital wanita', 'nyeri spastik organ genital wanita', 'nyeri spastik saluran kemih', 'nyeri spastik saluran empedu', 'nyeri spastik', 'spastik organ genital wanita']"
nyeri telinga,['nyeri telinga']
nyeri tenggorokan,['nyeri tenggorokan']
nyeri tulang,"['nyeri tulang', 'sindrom nyeri tulang vertebral']"
nyeri ulu hati,['nyeri ulu hati']
obstruksi ekstremitas,['obstruksi ekstremitas']
obstruksi saluran empedu,"['obstruksi parsial saluran empedu', 'obstruksi saluran empedu']"
oligomenorea,"['oligomenorea', 'oligomenore']"
oligospermia,"['oligospermia pria', 'oligospermia']"
onkomikosis,"['onikomikosis', 'onkomikosis']"
orchitis,['orchitis']
osteoarthritis,"['eksaserbasi akut oa', 'osteoartritis oa', 'osteoartritis eksaserbasi akut', 'osteoarthritis (oa)', 'osteoartritis jangka pendek', 'osteoarthritis oa', 'oa eksaserbasi akut', 'osteo arthritis', 'osteoartrosis', 'oa', 'osteoartritis spondilosa', 'osteoartritis spondilosa artritis', 'artritis tulang punggung', 'osteoartritis spondilartritis', 'herniated osteoarthritis', 'sindroma nyeri kolumna vertebralis', 'osteoatritis panggul', 'osteoartritis akut', 'osteaoarthritis', 'osteoarthritis', 'osteoartritis', 'eksacerbasi akut osteoarthritis', 'oa panggul', 'nyeri osteoarthritis', 'gejala osteoartritis', 'ostearthiritis', 'osteoartritis kolumna vertebralis']"
osteodistrofi ginjal,"['osteodistrofi ginjal pasien dialisis', 'osteodistrofi ginjal', 'osteodistrofi']"
osteogenesis imperfecta,"['osteogenesis imperfecta', 'osteogenesis imperfekta']"
osteomielitis,"['osteomielitis radang sumsum tulang', 'osteomielitis akut', 'osteomielitis', 'osteomielitis radang sumsum tulang akut', 'infeksi osteomielitis', 'osteomielitisradang sumsum tulang', 'intra abdominal osteomielitis', 'infeksi osteomielitis radang sumsum tulang']"
osteopetrosis,['osteopetrosis']
osteoporosis,"['osteporosis', 'osteoporosis sekunder', 'ostoroposis', 'osteoporosis paska menopause', 'osteoporosis', 'osteoporosis primer', 'ostoroposis tulang']"
otitis eksterna,"['otitis externa atau peradangan pada telinga bagian luar', 'otitis externa akut', 'otitis eksterna kronis', 'otitis eksterna', 'otitis externa khronik', 'otitis externa peradangan telinga bagian luar', 'otitis eksterna akut', 'otitis externa', 'otitis eksterna kronik', 'otitis externa akut khronik']"
otitis media,"['infeksi tht otitis medium akut sinusitis akut', 'otitis media supuratif', 'otitis medium sal nafas', 'otitis', 'otitis media radang rongga gendang telinga', 'otitis medium akut', 'medium', 'otitis media supuratif kronik', 'otitis medium', 'otitis media radang telinga tengah akut', 'otitis media kronis', 'otitis medium radang rongga gendang telinga', 'infeksi gl otitis medium bekterial', 'otitis medium akuta', 'otitis media akut', 'otitis media']"
otomikosis,['otomikosis']
panas,"['suhu panas', 'penurun panas', 'panas', 'panas disertai tenggorokan kering']"
panas dalam,"['panas dalam disertai tenggorokan kering', 'panas dalam']"
pankreatitis akut,"['pankreatitis', 'pankreatitis akut']"
panu,"['pityriasis', 'panu', 'pityriasis versicolor', 'pitiriasis versikolor', 'tinea pityriasis versicolor', 'tinea versicolor', 'pityriasis versikolor', 'tinea versikolor', 'tinea versicolor panu']"
papula,"['papula', 'peradangan berupa papula', 'papul']"
paratifus,"['tifoid paratifoid', 'go infeksi gl tifoid paratifoid', 'tifoid', 'demam tifoid paratifoid', 'tifus paratifus', 'demam tifus paratifus', 'paratifus', 'demam paratifus', 'tifus  paratifus', 'tifus epidemi', 'tifus dan paratifus']"
parestesia,"['parestesia', 'parestesis']"
paronikia,"['paronikhia', 'paronikia']"
parotitis,['parotitis']
pegal linu,"['pegalpegal', 'pegalpegal linu', 'peger linu', 'pegel linu', 'pegal linu', 'linu', 'pegel', 'pegal', 'pegal otot sendi', 'pegal pegal', 'pegapegal', 'linu linu', 'pega pegal']"
pembengkakan,"['pembengkakan', 'pembengkakan rambut']"
pembengkakan otak,['pembengkakan otak']
pembengkakan pasca bedah,['pembengkakan pasca bedah']
pembengkakan pasca trauma,['pembengkakan pasca trauma']
pembengkakan prostat,['pembengkakan prostat']
pendaharan,['perdarahan']
pendaharan hidung,"['perdarahan hidung ringan', 'perdarahan hidung']"
pendaharan uterus,"['pendarahan uterus disfungsional', 'perdarahan uterus fungsional', 'pendaharan uterus', 'perdarahan uterus']"
pening,['pening']
peningkatan tekanan bola mata,['peningkatan tekanan bola mata']
penuh lambung,"['rasa penuh epigastrik abdomen', 'penuh lambung tidak diatasi antasid', 'perasaan penuh lambung', 'penuh lambung', 'rasa penuh lambung']"
penyakit akibat virus,"['virus', 'virus jamur', 'penyakit virus', 'virus superfisial', 'penyakit virus lainnya']"
penyakit arteri koroner,"['penyakit arteri koroner', 'penyakit arteri koroner stabil']"
penyakit arteri perifer,"['oklusi arteri kronik', 'oklusi arteri khronik', 'oklusi arterial khronik', 'penyakit arteri perifer', 'oklusi arteri perifer kronis', 'penyakit arteri']"
penyakit behcet,['penyakit behcet']
penyakit crohn,"['penyakit crohn', 'crohn', 'penyakit crohn ringan sedang']"
penyakit degeneratif kolumna vertebra,['penyakit degeneratif kolumna vertebra']
penyakit gigi,"['penyakit gigi', 'penyakit gigi gusi']"
penyakit ginjal,"['penyakit ginjal hati', 'penyakit ginjal kronik', 'penyakit ginjal', 'penyakit ginjal stadium ginjal']"
penyakit hati,"['peny hati', 'penyakit hati akut kronis', 'penyakit hati']"
penyakit infeksi,"['penyakit infeksi kulit', 'infeksi penyakit eksaserbasi akut', 'penyakit infeksi', 'penyakit infeksi hpylori', 'eradikasi hpylori', 'penyakit infeksi ringan', 'hpylori']"
penyakit jantung,"['penyakit jantung hati', 'penyakit jantung']"
penyakit jantung koroner,"['penyakit koroner kronik', 'penyakit2 koroner khronik', 'penyakit jantung koroner']"
penyakit kulit,"['penyakit kulit lain', 'penyakit2 kulit', 'penyakit kulit dengan peradangan sensitifresponsif terhadap kortikosteroid mengalami infeksi sekunder', 'penyakit infeksi kulit jaringan lunak', 'penyakit kulit jaringan lunak', 'penyakit kulit responsif kortikosteroid', 'penyakit kulit lainnya', 'penyakit kkulit', 'penyakit dermatologik lain', 'dermatologik', 'penyakit kulit', 'penyakit kulit dengan peradangan', 'penyakit kulit janggut jamur']"
penyakit liver,['penyakit liver']
penyakit mata,['penyakit mata']
penyakit meniere,"['meniere', 'sindrom meniere s', 'penyakit meniere s', 'vertigo tinitus ketulian berhubungan sindrom meniere', 'sindrom meniere', 'hilangnya pendengaran berhubungan sindrom meniere', 'sindroma meniere', 'gangguan meniere', 'penyakit meniere']"
