standardized_disease;list_of_diseases;tambahan manual
pembengkakan prostat;;['pembengkakan prostat']
penyakit arteri koroner;;['penyakit arteri koroner']
penyakit paget;;['penyakit paget']
periartritis;;['periartritis']
peritonitis;;['peritonitis', 'peritoditis']
neuritis;;['neuritis']
plineuritis;;['plineuritis']
polineuritis;;['polineuritis', 'polyneuritis']
polip;;['polip']
polip usus;;['polip usus besar']
parotitis;;['parotitis']
psitakosis;;['psitakosis','psithachosis', 'psittacosis']
radang telinga;;['radang rongga gendang telinga','radang telinga akut kronis', 'radang telinga bagian luar', 'radang telinga bagian luar  tengah', 'radang telinga bagian tengah', 'radang telinga tengah']
radang;;['radang', 'radang akibat amandel', 'radang akut', 'radang akut yang berat']
radang mulut;;['radang mulut']
radang usus;;['radang usus','radang pada usus']
radang mata;;['radang kantung air mata', 'radang kelopak mata','radang saraf mata', 'radang kornea mata', 'radang mata akibat reaksi alergi','radang selaput bening mata', 'radang selaput ikat mata']
radang kulit;;['radang kkulit', 'radang kulit']
radang ginjal;;['radang ginjal']
trakhitis;;['trakhitis']
sakit punggung;;['sakit punggung']
pirosis;;['pirosis']
tendovaginitis;;['tendovaginitis']
trombositemia;;['trombositemia']
dermatomikosis;;['dermatomikosis']
akne;;['akne','acne']
adnexitis;;['adnexitis']
adesilentikular;;['adesilentikular']
urtikaria;;['alergi urtikaria', 'alergi urtikaria angioedema cold urticaria allergic rhinitis vasomotor rhinitis']
alopesia androgenetika;;['androgenetica alopecia', 'alopesia androgenetika']
kelahiran prematur;;['ancaman kelahiran prematur']
anemia akibat pendarahan;;['anemia akibat pendarahan']
anemia megaloblastik;;['anemia makrositik', 'anemia megaloblastik', 'anemia megaloblastik dan makrositik', 'anemia megaloblastik disertai kekurangan vitamin c dan b kompleks terutama pada kehamilan','anemia megaloblastik disertai kekurangan vitamin c b kompleks terutama kehamilan']
anemia pada kehamilan dan menyusui;;['anemia pada kehamilan dan menyusui','anemia kehamilan menyusui']
aneurisma otak;;['aneurisma']
angina;;['angina', 'angina stabil', 'angina stabil kronis', 'angina tidak stabil]
angina prinzmetal;;['angina prinzmetal, angina varian']
angina vincent;;['angina vincent']
anoreksia nervosa;;['anoreksia', 'anoreksia kehilangan nafsu makan', 'anorexia']
anovulasi;;['anovulasi']
ansietas;;['ansietas']
arthritis;;['arthisis', 'arthitis', 'arthritis', 'artritis akut', 'artritis idiopatik juvenil', 'atritis akut kronis']
arthritis gout;;['arthritis gout akut', 'gout', 'gout akut', 'gout artritis akut', 'gut', 'artritis gout akut']
septic arthritis;;['artritis septik', 'artritis septik osteomielitis']
asthenia;;['astenia']
aterosklerosis;;['artherosklerosis', 'aterosklerosis','aterosklerosis vaskular']
bau badan;;['bau badan']
bengkak;;['bengak', 'bengkak', 'bengkak akibat terpukul', 'bengkak atau memar']
bersin;;['bersin', 'bersin bersin', 'bersin bersin yang disertai batuk', 'bersin dan hidung tersumbat karena flu', 'bersin disertai batuk', 'bersinbersin', 'bersinbersin disertai batuk', 'bersinbersin yang disertai batuk']
bibir kering;;['bibir kering', 'bibir pecah pcah', 'bibir pecah pecah', 'bibir pecahpecah']
blastomikosis;;['blastomikosis']
blefarokonjungtivitis;;['blefarokonjungtivitis', 'blefarokonjungtivitis keratokonjungtivitis']
bromokriptin;;['bromokriptin']
bronkopasma;;['bronkhospasme', 'bronkhospasme reversibel', 'bronkhospastik', 'bronkhospastik lain', 'bronkospasma', 'bronkospasme', 'bronkospasme akut', 'bronkospasme bronkitis kronik', 'bronkospasme jenis asma bronkial', 'bronkospasme kronik', 'bronkospasme kronis', 'bronkospasme pada semua jenis asma bronkial', 'bronkospasme reversibel']
cedera;;['cedera']
cedera olahraga;;['cedera berolahraga kecelakaan', 'cedera jaringan lunak', 'cedera karena olahraga', 'cedera karena olahraga dan kecelakaan', 'cedera olahraga']
cocidioidomycosis;;['cocci dioidomycosis', 'coci dioidomycosis']
kardiomiopati;;['cardiomiopati obstruktif hipertrofik']
nyeri;;['nyeri ringan']
intoleransi makanan;;['intoleransi terhadap makanan']
intoleransi obat;;['intoleransi obat']
