standardized_disease;fuzzy_tfidf_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases
iktiosis;ikhtiosis;[];[]
ileus paralitik;ileus paralitik;[];[]
impetigo;impetigo furunculosis;[];[]
impetigo;impetigo kontagiosum;[];[]
impetigo;impetigo go komplikasi;[];[]
impetigo;impetigo;[];[]
impetigo;impetigo kontagiosa;[];[]
impotensi;impotensi;[];[]
impotensi;impoten pria;[];[]
impotensi;impoten;[];[]
imunisasi;imunisasi;[];[]
infeksi;infeksi;[];[]
infeksi;infeksi ringan;[];[]
infeksi;infeksi2;[];[]
infeksi;infeksi eksternal;[];[]
infeksi;infeksi berat;['infeksi berat terkomplikasi'];['infeksi berat terkomplikasi']
infeksi;infeksi kandida mukosa lainnya;[];[]
infeksi;infeksi ringan sedang;[];[]
infeksi;infeksi lainnya;[];[]
infeksi;infeksi akut;[];[]
infeksi;infeski;[];[]
infeksi;infeksi sedang;[];[]
infeksi;infeksi lain;[];[]
infeksi;infeksi serius;[];[]
infeksi;infeksi lain disebabkan kuman gram sensitif;[];[]
infeksi;infkesi;[];[]
infeksi bakteri;infeksi gram positif serius berat;[];[]
infeksi bakteri;infeksi bakteri sensitif levofloxacin sinusitis;[];[]
infeksi bakteri;infeksi bakterial sekunder;[];[]
infeksi bakteri;bakteri gram negatif;[];[]
infeksi bakteri;infeksi bakteri lipatan kulit;[];[]
infeksi bakteri;bakteri;[];[]
infeksi bakteri;infeksi mikobakterial tertentu;[];[]
infeksi bakteri;infeksi bakteri sekunder;[];[]
infeksi bakteri;bakteriuria asimptomatik pada masa hamil;[];[]
infeksi bakteri;infeksi bakteri pada lipatan kulit;[];[]
infeksi bakteri;infeksi oleh bakteri;[];[]
infeksi bakteri;infeksi bakteri dan jamur fungi;[];[]
infeksi bakteri;infeksi gram positif;[];[]
infeksi bakteri;infeksi serius disebabkan bakteri anaerob sensitif;[];[]
infeksi bakteri;infeksi disebabkan mikroorganisme gram positif gram negatif organisme memproduksi penisillinase;[];[]
infeksi bakteri;infeksi bakteri sensitif moxifloxacin;[];[]
infeksi bakteri;infeksi mikobakteri;[];[]
infeksi bakteri;infeksi mikobakterial;[];[]
infeksi bakteri;infeksi akibat bakteri pencernaan;[];[]
infeksi bakteri;bakteri gram negativ;[];[]
infeksi bakteri;infeksi disebabkan oleh bakteri;[];[]
infeksi bakteri;infeksi gr serius berat;[];[]
infeksi bakteri;infeksi bakteri fungi mulut tenggorokan;[];[]
infeksi bakteri;infeksi bakterial mata;[];[]
infeksi bakteri;anaerob;[];[]
infeksi bakteri;bakterial akut;[];[]
infeksi bakteri;infeksi gram negatif;[];[]
infeksi bakteri;infeksi serius akibat bakteri anaerob;[];[]
infeksi bakteri;infeksi berat disebabkan kuman gr gr;[];[]
infeksi bakteri;infeksi berat disebabkan bakteri gram;[];[]
infeksi bakteri;gram negatif;[];[]
infeksi bakteri;infeksi bakteri rentan;[];[]
infeksi bakteri;infeksi serius bakteri anaerob;[];[]
infeksi bakteri;staph;[];[]
infeksi bakteri;infeksi staph;[];[]
infeksi bakteri;eksaserbasi bakterial akut;[];[]
infeksi bakteri;infeksi bakteri anaerob;[];[]
infeksi bakteri;eritis bakterial;['infeksi kandungan eritis bakterial'];['infeksi kandungan eritis bakterial']
infeksi bakteri;infeksi akibat bakteri saluran kemih;[];[]
infeksi bakteri;infeksi bakteri;[];[]
infeksi bakteri;infeksi akibat chlamydia trachomatis;[];[]
infeksi bakteri;infeksi bakteri anaerob sensitif;[];[]
infeksi bakteri;infeksi akibat bakteri saluran pernapasan;[];[]
infeksi bakteri;bakteri gr penyebab bakteremia;[];[]
infeksi bakteri;infeksi bakteri gr gr sal nafas;[];[]
infeksi bakteri;infeksi gram;[];[]
infeksi bakteri;infeksi bakteri gr gr  sal nafas;[];[]
infeksi bakteri;infeksi bakteri yang rentan;[];[]
infeksi bakteri;bakteri anaerob;[];[]
infeksi bakteri;bakteri gr  penyebab bakteremia;[];[]
infeksi bakteri;infeksi bakteri mycobacterium tuberculosis tbc;[];[]
infeksi bakteri;infeksi gram positif gram negatif;[];[]
infeksi bakteri;bakterial;[];[]
infeksi bakteri;infeksi bakteri gram positif;[];[]
infeksi bakteri;infeksi akibat bakteri;[];[]
infeksi bakteri;bakteri endocarditis;[];[]
infeksi bakteri;infeksi disebabkan bakteri anaerob;[];[]
infeksi bakteri;infeksi bakteri anaerob serius;[];[]
infeksi bakteri;infeksi rentan berat;[];[]
infeksi bakteri;infeksi anaerob;[];[]
infeksi bakteri;infeksi sekunder bakteri gram positif;[];[]
infeksi bakteri;bakteri gram positif;[];[]
infeksi bakteri;disebabkan oleh jamur bakteri mulut;[];[]
infeksi bakteri;infeksi gram positif negatif;[];[]
infeksi bakteri;bakteriuria asimptomatik masa hamil;[];[]
infeksi bakteri;infeksi bakteri sekunder bronkitis akut;[];[]
infeksi bakteri;infeksi bakteri dan fungi pada mulut dan tenggorokan;[];[]
infeksi bakteri;infeksi serius disebabkan bakteri sensitif;[];[]
infeksi bakteri;infeksi disebabkan oleh mikroorganisme gram positif gram negatif sensitif terhadap tetracyclin;[];[]
infeksi bakteri;infeksi bakteri jamur fungi;[];[]
infeksi bakteri;bakteri gr;[];[]
infeksi genital;infeksi genital;[];[]
infeksi gigi;infeksi gigi;[];[]
infeksi ginjal;pielonefritis infeksi ginjal akut;['pielonefritis akut'];['pielonefritis akut']
infeksi ginjal;infeksi ginjal;[];[]
infeksi ginjal;infeksi pada ginjal;[];[]
infeksi helicobacter pylori;infeksi bakteri helicobacter pylorus;[];[]
infeksi jamur;infeksi jamur;[];[]
infeksi jamur;infeksi jamur ringworm kulit  rambut kuku disebabkan microsporum  epidermophyton trichophyton;[];[]
infeksi jamur;fungi;[];[]
infeksi jamur;infeksi jamur pada kulit kulit kepala dan kuku;[];[]
infeksi jamur;infeksi jamur kulit dengan inflamasiperadangan;[];[]
infeksi jamur;infeksi jamur sistemik;[];[]
infeksi jamur;infeksi jamur tubuh;[];[]
infeksi jamur;infeksi jamur ring  worm kulit;[];[]
infeksi jamur;infesi jamur;[];[]
infeksi jamur;infeksi jamur kandidiasis;[];[]
infeksi jamur;infeksi jamur kulit kulit kepala kuku;[];[]
infeksi jamur;infeksi jamur ring worm kulit;[];[]
infeksi jamur;jamur;[];[]
infeksi jamur;infeksi akibat jamur;[];[]
infeksi jamur;infeksi jamur ringworm kulit rambut kuku disebabkan microsporum epidermophyton trichophyton;[];[]
infeksi jamur;infeksi fungi;[];[]
infeksi jamur;infeksi jamur fungi;[];[]
infeksi jamur;infeksi jamur pada kulit dengan inflamasiperadangan;[];[]
infeksi jamur;profilaksis infeksi jamur;[];[]
infeksi jamur kuku;infeksi jamur kuku;[];[]
infeksi jamur kuku;infeksi jamur pada kuku;[];[]
infeksi jamur kulit;infeksi jamur pada kulit dan kuku;[];[]
infeksi jamur kulit;infeksi jamur lipatan kulit;[];[]
infeksi jamur kulit;infeksi kuku kulit dermatofita;[];[]
infeksi jamur kulit;infeksi dermatofita kulit kuku tangan;[];[]
infeksi jamur kulit;infeksi jamur pada kulit;[];[]
infeksi jamur kulit;infeksi di kulit  jaringan lunak;[];[]
infeksi jamur kulit;infeksi dermatofita kuku kaki;[];[]
infeksi jamur kulit;infeksi jamur kulit;[];[]
infeksi jamur kulit;dermatofit;['infeksi dermatofit'];['infeksi dermatofit']
infeksi jamur kulit;infeksi jamur kulit kuku;[];[]
infeksi jamur kulit;infeksi jamur kulit kepala;[];[]
infeksi jamur kulit;dermatofita;[];[]
infeksi jamur rambut;infeksi jamur rambut;[];[]
infeksi kuku;infeksi kuku;[];[]
infeksi kulit;infeksi kulit jar lunak terkomplikasi;[];[]
infeksi kulit;infeksi kulit lain;[];[]
infeksi kulit;infeksi kuku kulit;[];[]
infeksi kulit;infeksi kulit sekunder;[];[]
infeksi kulit;infeksi kulit struktur kulit tak terkomplikasi;[];[]
infeksi kulit;infeksi jaringan lunak kulit;[];[]
infeksi kulit;infeksi kulit dan struktur kulit;[];[]
infeksi kulit;infeksi jaringan lunak;[];[]
infeksi kulit;infeksi kulit jaringan lunak tanpa komplikasi;[];[]
infeksi kulit;infeksi kulit struktur kulit tidak terkomplikasi;[];[]
infeksi kulit;infeksi kulit membran mukosa luar;[];[]
infeksi kulit;infeksi serius jaringan lunak kulit;[];[]
infeksi kulit;lesi kulit traumatik infeksi sekunder;[];[]
infeksi kulit;infeksi kulit lainnya;[];[]
infeksi kulit;infeksi kulit jaringan luka;[];[]
infeksi kulit;infeksi kulit kepala;[];[]
infeksi kulit;infeksi kulit lain karena organisme yang peka terhadap kloramfenikol;[];[]
infeksi kulit;infeksi kulit struktur kulit ringan terkomplikasi;[];[]
infeksi kulit;infeksi basah kering kulit bayi;[];[]
infeksi kulit;infeksi kulit strukturnya tanpa komplikasi;[];[]
infeksi kulit;infeksi jaringan;[];[]
infeksi kulit;pioderma primer sekunder;[];[]
infeksi kulit;infeksi kulit termasuk herpes genital rekuren herpes labialis;[];[]
infeksi kulit;infeksi kulit primer akut;[];[]
infeksi kulit;infeksi kulit dan membran mukosa luar;[];[]
infeksi kulit;struktur kulit infeksi;[];[]
infeksi kulit;terapi infeksi kulit;['terapi'];[]
infeksi kulit;infeksi kulit dan membran mukosa lokal;[];[]
infeksi kulit;infeksi sekunder luka terbuka;[];[]
infeksi kulit;infeksi kulit dan jar lunak;[];[]
infeksi kulit;infeksi kulit termasuk herpes genital rekuren dan herpes labialis;[];[]
infeksi kulit;infeksi struktur kulit;[];[]
infeksi kulit;infeksi kulit mukosa;[];[]
infeksi kulit;infeksi kulit dan jaringan lunak;[];[]
infeksi kulit;infeksi kulit primer sekunder;[];[]
infeksi kulit;infeksi kulit jaringan lunak;[];[]
infeksi kulit;infeksi mikotik kulit;[];[]
infeksi kulit;kulit jar lunak infeksi serius;[];[]
infeksi kulit;infeksi kulit pioderma;[];[]
infeksi kulit;pioderma gangrenosa;[];[]
infeksi kulit;mikosis kulit lain;[];[]
infeksi kulit;infeksi kulit dan jaringan lunak tanpa komplikasi;[];[]
infeksi kulit;infeksi kulit struktur kulit terkomplikasi;[];[]
infeksi kulit;kulit infeksi;[];[]
infeksi kulit;infeksi sekunder kulit;[];[]
infeksi kulit;infeksi kulit dan struktur kulit tak terkomplikasi;[];[]
infeksi kulit;infeksi kulit jar lunak;[];[]
infeksi kulit;lesi kulit dengan infeksi primer sekunder oleh bakteri streptokokus;['lesi kulit dengan infeksi primer sekunder oleh bakteri stafilokokus'];[]
infeksi kulit;infeksi jar lunak;[];[]
infeksi kulit;infeksi pada kulit;[];[]
infeksi kulit;infeksi kulit kepala demartitis sebaroik ringan;[];[]
infeksi kulit;infeksi kulit membran mukosa lokal;[];[]
infeksi kulit;infeksi kulit primer maupun sekunder;[];[]
infeksi kulit;infeksi kulit termasuk herpes genital rekuren;[];[]
infeksi kulit;infeksi kulit;[];[]
infeksi kulit;infeksi kulit struktur kulit;[];[]
infeksi kulit;pioderma dermatitis infeksi sekunder;[];[]
infeksi kulit;infeksi kulit struktur kulit komplikasi;[];[]
infeksi kulit;infeksi kulit lain organisme peka terhadap kloramfenikol;[];[]
infeksi kulit;infeksi kulit primer;[];[]
infeksi kulit;infeksi primer sekunder;[];[]
infeksi kulit;infeksi kulit  jaringan lunak;[];[]
infeksi kulit;pyoderma;[];[]
infeksi kulit;infeksi kulit jelunak;[];[]
infeksi kulit;pioderma;[];[]
infeksi kulit;infeksi sekunder pyoderma;[];[]
infeksi kulit;infeksi kulit primer dan sekunder;[];[]
infeksi kulit;infeksi kulit dan strukturnya tanpa komplikasi;[];[]
infeksi lambung;infeksi lambung;[];[]
infeksi luka operasi;infeksi pasca operasi;[];[]
infeksi luka operasi;luka terinfeksi;[];[]
infeksi luka operasi;infeksi luka;[];[]
infeksi luka operasi;infeksi operasi esofangeal;[];[]
infeksi luka operasi;luka dengan infeksi;[];[]
infeksi luka operasi;luka paska operasi;[];[]
infeksi luka operasi;infeksi operasi;[];[]
infeksi luka operasi;infeksi luka operasi;[];[]
infeksi luka operasi;infeksi sesudah operasi;[];[]
infeksi mata;infeksi mata disebabkan oleh bakteri gram negatif;[];[]
infeksi mata;infeksi mata okular;[];[]
infeksi mata;inflamasi mata;[];[]
infeksi mata;infeksi mata;[];[]
infeksi mata;infeksi eksternal mata;[];[]
infeksi mata;infeksi mata eksternal bola mata;['infeksi eksternal bola mata struktur terkait', 'inflamasi bola mata eksternal anterior'];['infeksi eksternal bola mata struktur terkait', 'inflamasi bola mata eksternal anterior']
infeksi mata;infeksi okular;[];[]
infeksi mata;infeksi pada mata;[];[]
infeksi mulut;infeksi jamur fungi rongga mulut tenggorokan;[];[]
infeksi mulut;infeksi jamur dalam rongga mulut;[];[]
infeksi mulut;infeksi mulut;[];[]
infeksi mulut;infeksi rongga mulut;[];[]
infeksi mulut;infeksi jamur rongga mulut;[];[]
infeksi paru-paru;infeksi paru;[];[]
infeksi paru-paru;infeksi paru-paru;[];[]
infeksi perut;infeksi perut;[];[]
infeksi rahim;infeksi rahim;[];[]
infeksi salmonella;salmonelosis;[];[]
infeksi salmonella;salmonelosis infeksi urogenital;[];[]
infeksi salmonella;infeksi salmonella sp sp;[];[]
infeksi salmonella;infeksi yang disebabkan oleh salmonella;[];[]
infeksi salmonella;salmonella;[];[]
infeksi salmonella;infeksi disebabkan oleh salmonella sp;[];[]
infeksi salmonella;infeksi disebabkan salmonella;[];[]
infeksi salmonella;infeksi yang disebabkan oleh salmonella sp;[];[]
infeksi salmonella;infeksi disebabkan salmonella sp;[];[]
infeksi salmonella;infeksi salmonella sp;[];[]
infeksi salmonella;salmonelosis  infeksi urogenital;[];[]
infeksi salmonella;infeksi disebabkan oleh salmonella;[];[]
infeksi salmonella;infeksi salmonella;[];[]
infeksi salmonella;salmonella sp;[];[]
infeksi salmonella;salmonellosis;[];[]
infeksi salmonella;infeksi salmonele;[];[]
infeksi salmonella;infeksi salmonella spp;[];[]
infeksi saluran kelamin;infeksi kelamin;[];[]
infeksi saluran kelamin;infeksi sal kelamin;[];[]
infeksi saluran kelamin;kelamin infeksi;[];[]
infeksi saluran kemih;isk;[];[]
infeksi saluran kemih;infeksi saluran genitourinary;[];[]
infeksi saluran kemih;infeksi saluran kemih;[];[]
infeksi saluran kemih;infeksi pada saluran kemih;[];[]
infeksi saluran kemih;infeksi saluran kemih tanpa komplikasi;[];[]
infeksi saluran kemih;infeksi saluran urogenital;[];[]
infeksi saluran kemih;infeksi saluran kemih dan kelamin;[];[]
infeksi saluran kemih;isk terkomlikasi;[];[]
infeksi saluran kemih;infeksi traktus urinarius pielonefritis;[];[]
infeksi saluran kemih;infeksi saluran kemih kecuali prostatitis;[];[]
infeksi saluran kemih;saluran kemih kelamin infeksi kulit jaringan lunak;[];[]
infeksi saluran kemih;infeksi akut non komplikata saluran kemih bagian bawah;[];[]
infeksi saluran kemih;infeksi saluran urin;[];[]
infeksi saluran kemih;infeksi sal gl;[];[]
infeksi saluran kemih;infeksi saluran genitourinaria;[];[]
infeksi saluran kemih;infeksi saluran genitourinari;[];[]
infeksi saluran kemih;infeksi saluran kelamin;[];[]
infeksi saluran kemih;infeksi saluran kemih komplikasi;[];[]
infeksi saluran kemih;komplikasi infeksi saluran kemih;[];[]
infeksi saluran kemih;infeksi di saluran kemih;[];[]
infeksi saluran kemih;infeksi saluran gl;[];[]
infeksi saluran kemih;infeksi saluran kemih bagian bawah;[];[]
infeksi saluran kemih;infeksi saluran kencing;[];[]
infeksi saluran kemih;complicated urinary tract infection;[];[]
infeksi saluran kemih;infeksi saluran kemih kompleks complicated urinary tract infection;[];[]
infeksi saluran kemih;saluran kemih organ genital wanita;[];[]
infeksi saluran kemih;infeksi traktus genitourinary;[];[]
infeksi saluran kemih;infeksi saluran kemih dengan komplikasi;[];[]
infeksi saluran kemih;saluran kemih kelamin infeksi;[];[]
infeksi saluran kemih;infeksi saluran kemih kompleks;[];[]
infeksi saluran kemih;infeksi saluran kemih tidak terkomplikasi disebabkan escherichia coli proteus mirabilis;[];[]
infeksi saluran kemih;infeksi saluran kemih  kelamin;[];[]
infeksi saluran kemih;isk terkomplikasi;['isk terkomplikasi pielonefritis akut'];['isk terkomplikasi pielonefritis akut']
infeksi saluran kemih;infeksi saluran kemih akut komplikasi;[];[]
infeksi saluran kemih;infeksi traktus urinarius;[];[]
infeksi saluran kemih;infeksi sal kemih;[];[]
infeksi saluran kemih;infeksi saluran urinarius;[];[]
infeksi saluran kemih;infeksi urogenital;[];[]
infeksi saluran kemih;infeksi saluran kemih kelamin;[];[]
infeksi saluran kemih;infeksi saluram urinarius;[];[]
infeksi saluran kemih;infeksi bakteri saluran kemih;[];[]
infeksi saluran kemih;infeksi saluran kemih akut;[];[]
infeksi saluran kemih;infeksi sal urogenital kemih kelamin;[];[]
infeksi saluran kemih;isk komplikasi;[];[]
infeksi saluran kemih;kelamin infeksi kulit jaringan lunak;[];[]
infeksi saluran pencernaan;infeksi sistem pencernaan;['ulkus sistem pencernaan'];[]
infeksi saluran pencernaan;infeksi saluran pencernaan;[];[]
infeksi saluran pencernaan;infeksi pencernaan;[];[]
infeksi saluran pencernaan;proteus mirabilisinfeksi saluran pencernaan;[];[]
infeksi saluran pencernaan;infeksi saluran cerna;[];[]
infeksi saluran pencernaan;infeksi gut;[];[]
infeksi saluran pencernaan;lesi di saluran pencernaan;[];[]
infeksi saluran pencernaan;infeksi saluran cerna tifoid paratifoid;[];[]
infeksi saluran pencernaan;infeksi sal cerna;[];[]
infeksi saluran pencernaan;infeksi pernafasan saluran cerna;[];[]
infeksi saluran pencernaan;infeksi intraabdomen dengan komplikasi;[];[]
infeksi saluran pencernaan;sal cerna tifoid paratifoid;[];[]
infeksi saluran pencernaan;infeksi intraabdomen komplikasi;['infeksi intraabdomen'];['infeksi intraabdomen']
infeksi saluran pencernaan;lesi saluran pencernaan;[];[]
infeksi saluran pernapasan;infeksi saluran nafas akut khronik;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan bagian atas  bawah;[];[]
infeksi saluran pernapasan;tht;[];[]
infeksi saluran pernapasan;infeksi saluran nafas;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan bawah;[];[]
infeksi saluran pernapasan;infeksi sal napa;[];[]
infeksi saluran pernapasan;infeksi saluran nafas kronik;[];[]
infeksi saluran pernapasan;infeksi saluran napa akut;[];[]
infeksi saluran pernapasan;infeksi sal;[];[]
infeksi saluran pernapasan;infeksi saluran napas;['saluran napas akut'];['saluran napas akut']
infeksi saluran pernapasan;infeksi saluran nafas akut dan kronik;[];[]
infeksi saluran pernapasan;infeksi sal nafas atas;[];[]
infeksi saluran pernapasan;infeksi saluran nafas akut dan khronik;[];[]
infeksi saluran pernapasan;infeksi saluran nafas dan tht;[];[]
infeksi saluran pernapasan;infeksi sal nafas kulit;[];[]
infeksi saluran pernapasan;infeksi pernafasan;[];[]
infeksi saluran pernapasan;infeksi saluran nafas kulit jaringan lunak;[];[]
infeksi saluran pernapasan;infeksi ringan  sedang sal nafas bawah dan atas kulit dan struktur kulit phs;[];[]
infeksi saluran pernapasan;infeksi virus sal napa;[];[]
infeksi saluran pernapasan;infeksi ringan sedang sal nafas bawah atas kulit struktur kulit phs;[];[]
infeksi saluran pernapasan;infeksi saluran napas bawah;[];[]
infeksi saluran pernapasan;infeksi sal nafas atas dan bawah;[];[]
infeksi saluran pernapasan;saluran nafas akut kronik;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan atas  bawah;[];[]
infeksi saluran pernapasan;infeksi ringan saluran nafas;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bagian atas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas atas bawah;[];[]
infeksi saluran pernapasan;infeksi sal nafas atas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan bagian atas;[];[]
infeksi saluran pernapasan;sal nafas kecuali pneumonia strep;[];[]
infeksi saluran pernapasan;infeksi saluran nafas akut kronik;[];[]
infeksi saluran pernapasan;infeksi saluran nafas dan bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas atas dan bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bawah atas;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bawah dan atas;[];[]
infeksi saluran pernapasan;infeksi saluran nafas kulit dan jaringan lunak;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan;[];[]
infeksi saluran pernapasan;infeksi saluran pernfasan bagian atas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas kecuali pneumonia strep hemolitikus;[];[]
infeksi saluran pernapasan;infeksi saluran napas atas bawah;[];[]
infeksi saluran pernapasan;infeksi sal nafas;[];[]
infeksi saluran pernapasan;infeksi saluran napas atas dan bawah;[];[]
infeksi saluran pernapasan;infeksi serius saluran nafas;[];[]
infeksi saluran pernapasan;infeksi berat sal nafas;[];[]
infeksi saluran pernapasan;infeksi sal nafas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas atas;[];[]
infeksi saluran pernapasan;infeksi saluran napa akut kronik;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan bagian atas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan bawah;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan bagian bawah;[];[]
infeksi saluran pernapasan;saluran nafas atas;[];[]
infeksi saluran pernapasan;infeksi sal pernafasan atas;[];[]
infeksi saluran pernapasan;infeksi saluran napas atas  bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bagian atas dan bawah;[];[]
infeksi saluran pernapasan;infeksi serius saluran nafas bag bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas khronik;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan atas;[];[]
infeksi saluran pernapasan;infeksi saluran napa;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan atas dan bawah;[];[]
infeksi saluran pernapasan;infeksi saluran napas atas;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan atas bawah;[];[]
infeksi saluran pernapasan;infeksi tht;[];[]
infeksi saluran pernapasan;infeksi sal nafas bakteri gr;[];[]
infeksi saluran pernapasan;infeksi serius saluran nafas bag bwh;[];[]
infeksi saluran pernapasan;infeksi sal nafas lainnya;[];[]
infeksi saluran pernapasan;infeksi saluran nafas akut;[];[]
infeksi saluran pernapasan;infeksi bakteri saluran pernafasan;[];[]
infeksi saluran pernapasan;infeksi saluran nafas tht;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan;[];[]
infeksi saluran pernapasan;infeksi serius disebabkan bakteri sensitif infeksi saluran nafas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan bagian atas;[];[]
infeksi saluran pernapasan;infeksi saluran pencernaan saluran kemih;[];[]
infeksi sekunder;komplikasi infeksi sekunder;[];[]
infeksi sekunder;infeksi sekunder;[];[]
infeksi selaput lendir mulut;infeksi selaput lendir mulut;[];[]
infeksi sendi;infeksi sendi;[];[]
infeksi staphylococcus;infeksi staphylococcus;[];['lesi kulit dengan infeksi primer sekunder oleh bakteri stafilokokus']
infeksi staphylococcus;bakteri staph;[];[]
infeksi staphylococcus;infeksi serius staph;[];[]
infeksi staphylococcus;staphylococcusa aureus;[];[]
infeksi staphylococcus;staphylococcus;[];[]
infeksi staphylococcus;staphylococci;[];[]
infeksi staphylococcus;infeksi disebabkan staphylococcus;[];[]
infeksi staphylococcus;staphylococcus aureus;[];[]
infeksi staphylococcus;luka terinfeksi disebabkan oleh staphylococcus aureus;[];[]
infeksi staphylococcus;staphyloccocus aureus;[];[]
infeksi streptococcus;streptococus;[];[]
infeksi streptococcus;streptococcus hemolyticus;[];[]
infeksi streptococcus;infeksi streptococcus;[];[]
infeksi streptococcus;hemolitikus;[];[]
infeksi streptococcus;streptococcus faecalis;[];[]
infeksi streptococcus;streptococci;[];[]
infeksi streptococcus;streptococcus;[];[]
infeksi streptococcus;strep hemolitikus;[];[]
infeksi streptococcus;streptococcus pyogenes;['s pyogenes'];['s pyogenes']
infeksi streptococcus;streptococcus viridans;[];[]
infeksi streptococcus;streptococcus epidermidis;[];[]
infeksi streptococcus;infeksi strep;[];[]
infeksi streptococcus;strep;[];[]
infeksi telinga;peradangan akibat infeksi telinga;[];[]
infeksi telinga;infeksi telinga hidung tenggorokan;['tht telinga hidung tenggorokan'];[]
infeksi telinga;infeksi rongga telinga;[];[]
infeksi telinga;inteksi tulang;[];[]
infeksi telinga;infeksi telinga;[];[]
infeksi tulang;infeksi tulang persendian;['persendian'];[]
infeksi tulang;infeksi tulang sendi;[];[]
infeksi tulang;infeksi tulang;[];[]
infeksi usus;infeksi usus;[];[]
infeksi usus;infeksi traktus gastrointestinal;[];[]
infeksi vagina;infeksi vagina disebabkan trichomonas vaginalis;[];[]
infeksi vagina;infeksi vagina;[];[]
infeksi vagina;infeksi vagina disebabkan candida albicans;['candida albicans'];['candida albicans']
infeksi vagina;infeksi vagina campuran;[];[]
infeksi virus;infeksi virus;[];[]
inflamasi;inflamasi;['nyeri inflamasi', 'inflamasi kulit'];['inflamasi degeneratif','keadaan inflamasi']
inflamasi okular;inflamasi okular;['inflamasi peradangan okular'];['inflamasi peradangan okular']
inflamasi pasca operasi;radang pasca operasi katarak;[];[]
inflamasi pasca operasi;inflamasi paska operasi katarak;[];[]
inflamasi pasca operasi;inflamasi paska operasi;[];[]
inflamasi pasca operasi;inflamasi pasca operasi;[];[]
inkontinensia tinja;inkontinensia tinja;[];[]
inkontinensia urine;inkontinensia urin;[];[]
insomnia;insomnia;[];[]
intoleransi makanan;intoleransi terhadap makanan salah cerna;[];[]
intoleransi makanan;intoleransi terhadap makanan;[];[]
intoleransi obat;intoleransi terhadap obat sitotoksik;[];[]
intoleransi obat;intoleransi obat;[];[]
iritasi;iriasi ringan;['iriasi'];['iriasi', 'iritasi']
iritasi;iritasi ringan;['iritasi mata ringan', 'iritasi ringan mata', 'iritasi hidung ringan', 'iritasi ringan mulut'];['iritasi mata ringan', 'iritasi ringan mata']
iritasi;teriritasi lingkungan;[];[]
iritasi mata;iritasi mata;['iritasi minor mata', 'iritasi'];['iritasi minor mata']
iritasi saluran pernapasan;iritasi membran mukosa;[];[]
iritasi saluran pernapasan;iritasi saluran nafas lainnya;[];[]
iritasi saluran pernapasan;iritasi membran mukosa saluran nafas;[];[]
iritasi usus;iritasi usus;[];[]
iskemia;iskemia ulkus;[];[]
iskemia;iskemia miokard;[];[]
iskemia;iskemia;[];[]
iskemia;iskemia miokardial;[];[]
jamur kulit;jamur pada kulit;[];[]
jamur kulit;jamur lipatan kulit;[];[]
jamur kulit;jamur kulit;[];[]
jerawat;jerawat berat;[];[]
jerawat;aknejerawat berisi nanah;[];[]
jerawat;jerawat;[];[]
jerawat;infeksi jerawat;[];[]
jerawat;jerawatakne vulgaris;[];[]
jerawat;jerawat bisul;[];[]
jerawat;jerawat parah;[];[]
jerawat;jerawat berisi nanah;[];[]
jerawat batu;jerawat batu;[];[]
kandidiasis kulit;kandidiasis kulit;[];[]
kandidiasis kulit;kandidasis kutan;[];[]
kandidiasis mukosal;kandidiasis mukokutan kulit  mukosa khronik tidak responsif nistatin obat kandidiasis vaginal;[];[]
kandidiasis mukosal;kandidiasis mukokutan kronis;[];[]
kandidiasis mukosal;kandidiasis mukokutan kulit mukosa khronik tidak responsif nistatin obat kandidiasis vaginal;[];[]
kandidiasis mukosal;kandidiasis mukokutan khronis;[];[]
kandidiasis mukosal;kandidiasis mukosal;[];[]
kandidiasis mukosal;kandidiasi mukosa;[];[]
kandidiasis mukosal;kandidiasis mukokutan kulit  mukosa khronik;[];[]
kandidiasis mukosal;kandidiasis mukokutan kulit mukosa khronik;[];[]
