standardized_disease,list_of_diseases_fuzzy_tfidf_fuzzy_tfidf
kolik,"['kolik', 'sakit kolik', 'nyeri kolik', 'kholik', 'kolik empedu']"
kolik ginjal,"['kolik empedu ginjal', 'kolik ginjal empedu', 'kolik ginjal']"
kolik kandung kemih,"['kolik kandung kemih', 'kolik ginjal kandung kemih']"
koma,"['koma hepatic', 'koma hepatik', 'prekoma hepatik', 'pre koma hepatik', 'prekoma', 'koma']"
komedo,"['komedo', 'peradangan dengan komedo']"
komplikasi paru pasca bedah,['komplikasi paru pasca bedah']
konjungtivitis,"['konjungtivitas', 'konjungtivitis infeksi e', 'konjungtivitis alergi', 'konjungtivitis', 'konjungtivitis nonpurulen akut kronis', 'konjungktivitis', 'konjungtivitis nonpurulen', 'konjungtivitis infeksi bakteri', 'konjungtivitis folikular', 'konjungtivitis alergi radang selaput ikat mata akibat alergi', 'konjungtivitis bakterial', 'konjungtivitis vernal']"
konstipasi,"['konstipasi akut kronik', 'konstipasi superscript', 'konstipasi kronik', 'konstipasi kronis', 'konstipasi akut', 'konstipasi', 'konstipasi atoni']"
kram otot,"['kram otot', 'spasme otot', 'spasme kram otot', 'spasme kram muskuloskeletal', 'nyeri spasme kram otot polo', 'kram']"
kram perut,"['kram perut disebabkan oleh menstruasi dysmenorrhea', 'sakit kram perut', 'kram perut']"
kram saluran kemih,['kram saluran kemih kelamin']
kram saluran pencernaan,"['kram saluran cerna', 'kram saluran cerna pylorus']"
kriptokokal,['kriptokokal']
kriptosporidiosis,"['kriptosporidiosis', 'cryptosporidiosis']"
kudis,"['panu kadas', 'scabies kudis', 'kadas', 'kudis']"
kulit kering,['kulit kering']
kurap,"['kurap', 'kadaskurap']"
kutil,"['kutil kalus', 'kutil']"
kutu air,"['tinea pedis kutu air', 'kutu air', 'kutu air rangen']"
kutu badan,['kutu badan']
kutu rambut,['kutu rambut']
labirinitis,"['labirinitis', 'sindroma meniere labirinitis']"
lambliasis,['lambliasis']
laringitis,"['laryngitis', 'laringitis']"
leher pegal dan kaku,"['pegal leher', 'leher kaku terkilir', 'kaku', 'leher kaku bahu', 'leher kaku']"
leptospirosis,['leptospirosis']
lesi kulit,"['lesi2 kulit lainnya', 'lesi2 kulit']"
lesi mulut,['lesi inflamasi oral']
lichen planus,"['likhen planus erosif', 'lichen planus', 'liken planus', 'likhen planus']"
limfogranuloma inguinale,['limfogranuloma inguinale']
luka,"['luka', 'luka kronik']"
luka bakar,"['luka bakar ringan', 'luka bakar akibat bahan kimia', 'luka bakar terinfeksi', 'luka bakar']"
luka tusuk,['luka tusuk']
luka usus,"['luka usus duodenal', 'luka lambung usus', 'luka usus']"
lupus,"['lupus eritematosus diskoid', 'lupus eritematosus discoid', 'lupus eritematosus', 'lupus', 'lupus eritematosus diskoid kondisi tidak respon kortikosteroid aktif', 'lupus eritemmantosus', 'lupus eritematosus diskoid tidak respon kortikosteroid aktif']"
mabuk perjalanan,"['mabuk kendaraan', 'mabuk', 'pencegahan mabuk perjalanan', 'mabuk perjalanan', 'mabuk karena kendaraan']"
makrosomia,['makrosomia']
malaria,"['malaria falciparum', 'pencegahan malaria', 'malaria']"
masuk angin,"['masuk angin', 'gejala masuk angin']"
mata gatal,"['gatal mata', 'gatal panas mata']"
mata ikan,['mata ikan']
mata kering,"['kekeringan mata', 'sindroma mata kering', 'mata kering']"
mata lelah,['mata lelah']
mata merah,"['kemerahan mata', 'mata merah', 'iritasi mata merah', 'peradangan mata merah']"
melasma,"['melasma derajat sedang hingga berat', 'melasma']"
memar,"['luka memar', 'terkilir memar', 'memar']"
meningitis,"['bakteri gram negatif penyebab bakteria meningitis', 'kuman gram negatif penyebab meningitis bakteremia', 'bakteria meningitis', 'bakteri gr menyebabkan meningitis', 'bakteri gr  menyebabkan meningitis', 'meningitis', 'gram negatif menyebabkan bakteremia meningitis', 'tuberkulosis meningitis', 'meningitis bakteri gram negatif', 'meningitis nontbc', 'bakteremia meningitis', 'meningitis kriptokokal', 'meningitis disebabkan bakteri gram negatif', 'meningitis bakteremia']"
menopause,"['menopause', 'gangguan pasca menopause']"
meriang,"['sumeng meriang', 'badan meriang', 'meriang']"
mialgia,['mialgia']
migrain,"['migraine', 'migraine akut', 'migrain', 'migrain akut']"
mikosis,"['mikosis mulut kulit kandida', 'mikosis kulit dermatofita', 'mikosis', 'infeksi mikosis sistemik', 'mikosis sistemik', 'mikosis interdigitalis']"
milia,['milia']
miom,['miom']
molluscum contagiosum,"['molluscum contagiosum', 'moluskum kontagiosum']"
morning sickness,['morning sickness']
mual,"['hiperasiditas mual', 'mual', 'mual akibat radiasi', 'rasa mual', 'gejala mual', 'perut mual', 'pening mual', 'mual akut']"
mual muntah,"['mual muntah akibat penggunaal levodopa bromokriptin', 'mual dan muntah akibat radioterapi', 'mual muntah akut', 'mual pagi hari', 'mual muntah obat', 'mual muntah disebabkan oleh obat', 'mual muntah anak2 akibat kemoterapi radioterapi', 'mual dan muntah pada anak2 akibat kemoterapi  radioterapi', 'mual  muntah akut', 'mual dan muntah', 'mualmuntah paska operasi', 'mual muntah pasca operasi', 'mual dan muntah yang dipicu oleh radioterapi', 'mual dan muntah yang disebabkan oleh obat', 'mual di pagi hari', 'mual muntah dipicu oleh radioterapi', 'mual  muntah yang disebabkan kemoterapi  radioterapi untuk kanker', 'mual muntah akibat obat', 'mual dan muntah akibat kemoterapi  radioterapi', 'mual paska operasi', 'mual muntah kemoterapi radioterapi', 'mual dan muntah yang diinduksi obat kemoterapi sitotoksik', 'mual muntah kemoterapi', 'mual dan muntah yang disebabkan radioterapi untuk kanker', 'mual muntah disebabkan radioterapi untuk kanker', 'mual dan muntah akibat obat', 'mual atau muntah', 'mual dan muntah yang disebabkan kemoterapi', 'mual muntah radioterapi', 'mual muntah', 'mual dan muntah karena radioterapi', 'mual dan muntah akut', 'mual atau muntah pasca operasi', 'mual dan muntah akibat kemoterapi', 'mual meriang', 'mual dan muntah karena obat', 'mual dan muntah pasca pembedahan', 'mual muntah pasca pembedahan', 'mual dan muntah pasca operasi', 'mual muntah kehamilan', 'mual muntah akibat radioterapi', 'mual dan muntah pada anak akibat kemoterapi dan radioterapi', 'mual muntah akibat kemoterapi radioterapi', 'mual dan muntah karena kemoterapi dan radioterapi', 'mual muntah akibat kemoterapi', 'mual muntah diinduksi obat kemoterapi sitotoksik', 'mual dan muntah akibat kemoterapi dan radioterapi', 'mual muntah disebabkan kemoterapi', 'mual muntah akibat gangguan metabolik pasca operasi', 'maul akut', 'mual muntah disebabkan kemoterapi radioterapi untuk kanker', 'mual dan muntah paska operasi', 'mual muntah paska operasi', 'mual muntah anak akibat kemoterapi radioterapi', 'mual dan muntah karena kemoterapi', 'maul', 'mual muntah kemoterapi emetogenik', 'mual  muntah yang disebabkan kemoterapi', 'mual dan muntah akibat penggunaal levodopa dan bromokriptin', 'mual  muntah']"
mulut kering,['mulut kering']
muntah,"['muntah saat hamil', 'muntahmuntah bromokriptin', 'muntahmuntah karena levodopa', 'muntah dalam perjalanan', 'muntah akut', 'muntah muntah', 'muntah  muntah', 'muntah ringan', 'muntah', 'muntah dalam perjalanan yang diderita jika mempergunakan kendaraan bermotor kapal kereta api atau pesawat udara', 'muntah paska anestesi', 'muntahmuntah', 'mual paska anestesi', 'muntah saat perjalanan', 'muntah kehamilan', 'maul akut muntahmuntah', 'muntah pada kehamilan', 'muntahmuntah karena bromokriptin', 'muntah pasca operasi', 'muntah paska operasi', 'muntahmuntah levodopa', 'muntah dalam perjalanan diderita jika mempergunakan kendaraan bermotor kapal kereta api pesawat udara']"
myasthenia gravis,"['myasthenia gravis', 'miastenia gravis']"
myositis,"['myositis', 'miositis']"
nefropati,['nefropati']
nefropati diabetik,['nefropati diabetik']
neuralgia,['neuralgia']
neuritis,"['neuritis neuralgia', 'neuritis perifer', 'neuritis', 'neuritis reumatik', 'neuritis kehamilan']"
neuritis optik,"['neuritis optika', 'neuritis optik']"
neurodermatitis,"['neuro-dermatitis', 'neurodermatitis lokalisata', 'neurodermatitis', 'neurodermatitis kontak']"
neuropati,"['neuropati vagal diabetikum', 'neuropati']"
neuropati diabetik,"['neuropati diabetik', 'neuropati diabetika']"
neuropati perifer,['neuropati perifer']
nistagmus,['nistagmus']
nyeri,"['nyeri sedang berat', 'sakit nyeri ringan', 'nyeri sakit', 'nyeri akibat memar', 'nyeri lain', 'nyeri ringan', 'nyeri akut derajat berat', 'sakitnyeri', 'nyeri kronis akut', 'nyeri akut', 'nyeri berat', 'nyeri']"
nyeri bahu,"['nyeri otot bahu', 'nyeri bahu', 'nyeri otot leher bahu punggung', 'rasa sakit otot bahu']"
nyeri cedera,"['nyeri cedera', 'nyeri akibat terkilir terpukul']"
nyeri gigi,"['meredakan nyeri gigi ringan', 'nyeri gigi', 'nyeri gigi ringan hingga sedang', 'nyeri gigi sedang', 'nyeri gigi ringan']"
nyeri inflamasi,['nyeri inflamasi']
nyeri kaki,['nyeri kaki']
nyeri kepala,['nyeri kepala']
nyeri kolumna vertebra,[]
nyeri lambung,"['nyeri lambung', 'nyeri paroksismal penyakit lambung usus halus']"
nyeri leher,"['sakit otot leher pundak', 'nyeri leher', 'nyeri otot leher', 'sakit otot leher', 'rasa sakit leher']"
nyeri lutut,['nyeri lutut']
nyeri muskuloskeletal,"['nyeri muskuloskeletal lain', 'nyeri muskuloskeletal', 'nyeri muskuloskeletal akut', 'nyeri muskuloskeletal kronik', 'nyeri musculoskeletal akut', 'nyeri muskuloskeletal kronis']"
nyeri otot,"['nyeri otot', 'nyeri ringan sedang otot', 'nyeri otot olahraga']"
nyeri pasca bedah,"['nyeri paska bedah', 'nyeri lokal paska bedah mulut', 'nyeri paskabedah']"
nyeri pasca operasi,"['nyeri setelah traumapasca operasi', 'nyeri sesudah operasi', 'nyeri operasi', 'nyeri paska operasi', 'nyeri pasca operasi pasca bedah gigi tulang', 'setelah operasi', 'nyeri yang muncul setelah operasi', 'meredakan nyeri pasca operasi', 'nyeri muncul setelah operasi', 'nyeri pasca bedah', 'nyeri pasca operasi derajat', 'nyeri cabut gigi', 'nyeri perut sehabis operasi', 'nyeri pasca operasi', 'sakit setelah operasi', 'nyeri inflamasi pasca op', 'nyeri pasca op', 'pencabutan gigi nyeri operasi', 'nyeri pasca operasi cabut gigi', 'nyeri sehabis operasi']"
nyeri pasca partum,"['pasca partum', 'nyeri pasca partum']"
nyeri pasca trauma,"['nyeri setelah traumatik', 'nyeri traumatik', 'nyeri pasca trauma', 'nyeri trauma operasi', 'nyeri trauma', 'nyeri inflamasi pasca trauma terkilir', 'nyeri akibat trauma', 'nyeri inflamasi pasca trauma']"
nyeri pasca vaksinasi,['nyeri pasca vaksinasi']
nyeri perut,['nyeri perut']
nyeri pinggang,"['nyeri pinggang', 'nyeri otot pinggang']"
nyeri punggung,"['nyeri tulang punggung', 'nyeri punggung', 'nyeri otot punggung', 'sakit nyeri punggung', 'nyeri pada punggung', 'nyeri dipunggung']"
nyeri saraf,"['neuralgia nyeri saraf', 'nyeri saraf']"
nyeri sendi,"['nyeri sendi', 'pegal nyeri sendi', 'pegal linu nyeri sendi', 'nyeri sendi akibat reumatik', 'nyeri otot sendi', 'nyeri pegalpegal otot sendi']"
nyeri spastik,"['nyeri spastik saluran kemih', 'spastik organ genital wanita', 'nyeri spastik saluran empedu', 'nyeri paroxismal lambung usus halus nyeri spastik saluran empedu saluran kemih organ genital wanita', 'nyeri spastik organ genital wanita', 'nyeri spastik sistem genital wanita', 'nyeri spastik']"
nyeri telinga,['nyeri telinga']
nyeri tenggorokan,['nyeri tenggorokan']
nyeri tulang,['nyeri tulang']
oligomenorea,"['oligomenorea', 'oligomenore']"
oligospermia,"['oligospermia', 'oligospermia pria']"
onkomikosis,"['onikomikosis', 'onkomikosis']"
orchitis,['orchitis']
osteoarthritis,"['sindroma nyeri kolumna vertebralis', 'oa eksaserbasi akut', 'osteoartritis oa', 'osteoartritis spondilosa artritis', 'eksacerbasi akut osteoarthritis', 'osteoarthritis (oa)', 'osteoartrosis', 'osteoartritis spondilosa', 'osteoartritis', 'osteoartritis jangka pendek', 'artritis tulang punggung', 'osteo arthritis', 'osteoartritis kolumna vertebralis', 'herniated osteoarthritis', 'osteoarthritis', 'osteoatritis panggul', 'nyeri osteoarthritis', 'gejala osteoartritis', 'osteoartritis akut', 'eksaserbasi akut oa', 'osteoarthritis oa', 'osteoartritis spondilartritis', 'ostearthiritis', 'osteaoarthritis', 'oa', 'osteoartritis eksaserbasi akut']"
osteodistrofi ginjal,"['osteodistrofi ginjal', 'osteodistrofi']"
osteogenesis imperfecta,"['osteogenesis imperfecta', 'osteogenesis imperfekta']"
osteomielitis,"['infeksi osteomielitis radang sumsum tulang', 'infeksi osteomielitis', 'osteomielitis radang sumsum tulang', 'osteomielitis radang sumsum tulang akut', 'osteomielitis akut', 'osteomielitisradang sumsum tulang', 'osteomielitis', 'intra abdominal osteomielitis']"
osteopetrosis,['osteopetrosis']
osteoporosis,"['osteoporosis', 'ostoroposis', 'osteoporosis sekunder', 'osteoporosis primer', 'ostoroposis tulang', 'osteoporosis paska menopause']"
otitis eksterna,"['otitis eksterna kronis', 'otitis eksterna', 'otitis externa khronik', 'otitis externa atau peradangan pada telinga bagian luar', 'otitis externa akut', 'otitis eksterna kronik', 'otitis externa', 'otitis eksterna akut', 'otitis externa peradangan telinga bagian luar', 'otitis externa akut khronik']"
otitis media,"['medium', 'otitis media radang telinga tengah akut', 'infeksi tht otitis medium akut sinusitis akut', 'otitis media radang rongga gendang telinga', 'otitis media kronis', 'otitis media supuratif', 'otitis medium sal nafas', 'otitis media akut', 'otitis medium radang rongga gendang telinga', 'otitis medium akuta', 'infeksi gl otitis medium bekterial', 'otitis medium akut', 'otitis media', 'otitis media supuratif kronik', 'otitis medium', 'otitis']"
otomikosis,['otomikosis']
panas,"['panas', 'panas disertai tenggorokan kering']"
panas dalam,"['panas dalam', 'panas dalam disertai tenggorokan kering']"
pankreatitis akut,"['pankreatitis akut', 'pankreatitis']"
panu,"['tinea versicolor', 'tinea pityriasis versicolor', 'tinea versicolor panu', 'panu']"
paratifus,"['tifus dan paratifus', 'tifus epidemi', 'demam tifus paratifus', 'demam paratifus', 'tifus  paratifus', 'tifoid paratifoid', 'demam tifoid paratifoid', 'go infeksi gl tifoid paratifoid', 'tifoid', 'paratifus', 'tifus paratifus']"
paronikia,"['paronikhia', 'paronikia']"
parotitis,['parotitis']
pegal linu,"['pegal otot sendi', 'pegal linu', 'pegal pegal', 'pegal']"
pembengkakan,"['pembengkakan rambut', 'pembengkakan']"
pembengkakan otak,['pembengkakan otak']
pembengkakan pasca bedah,['pembengkakan pasca bedah']
pembengkakan pasca trauma,['pembengkakan pasca trauma']
pembengkakan prostat,['pembengkakan prostat']
pendaharan,['perdarahan']
pendaharan hidung,"['perdarahan hidung', 'perdarahan hidung ringan']"
pening,['pening']
penyakit akibat virus,"['penyakit virus', 'virus superfisial', 'virus', 'penyakit virus lainnya', 'virus jamur']"
penyakit arteri koroner,"['penyakit arteri koroner stabil', 'penyakit arteri koroner']"
penyakit arteri perifer,"['penyakit arteri', 'oklusi arteri kronik', 'penyakit arteri perifer', 'oklusi arteri perifer kronis']"
penyakit behcet,['penyakit behcet']
penyakit crohn,"['penyakit crohn ringan sedang', 'crohn', 'penyakit crohn']"
penyakit gigi,"['penyakit gigi gusi', 'penyakit gigi']"
penyakit ginjal,"['penyakit ginjal', 'penyakit ginjal stadium ginjal', 'penyakit ginjal kronik', 'penyakit ginjal hati']"
penyakit hati,"['penyakit hati', 'penyakit hati akut kronis']"
penyakit infeksi,"['penyakit infeksi kulit', 'penyakit infeksi hpylori', 'infeksi penyakit eksaserbasi akut', 'hpylori', 'penyakit infeksi ringan', 'penyakit infeksi']"
penyakit jantung,"['penyakit jantung', 'penyakit jantung hati']"
penyakit jantung koroner,"['penyakit koroner kronik', 'penyakit jantung koroner', 'penyakit2 koroner khronik']"
penyakit kulit,"['penyakit dermatologik lain', 'penyakit kulit lainnya', 'dermatologik', 'penyakit kulit jaringan lunak', 'penyakit2 kulit', 'penyakit kulit dengan peradangan', 'penyakit infeksi kulit jaringan lunak', 'penyakit kkulit', 'penyakit kulit', 'penyakit kulit janggut jamur', 'penyakit kulit lain']"
penyakit liver,['penyakit liver']
penyakit mata,['penyakit mata']
penyakit meniere,"['sindrom meniere', 'penyakit meniere', 'sindrom meniere s', 'penyakit meniere s', 'sindroma meniere', 'meniere', 'gangguan meniere']"
penyakit menular seksual,"['penyakit hubungan seksual', 'penyakit menular seksual']"
penyakit paget,['penyakit paget']
penyakit paru obstruktif kronis,"['penyakit2 paru', 'penyakit paru obstruktif kronik (ppok)', 'penyakit paru obstruktif kronis eksaserbasi akut', 'obstruksi saluran napa', 'penyakit paru obstruktif kronis', 'paru obstruktif kronik', 'obstruksi saluran nafas kronik', 'penyakit paru obstruktif kronik ppok', 'obstruksi kronik', 'penyakit2 obstruksi saluran nafas', 'penyakit paru obstruktif kronik', 'obstruksi saluran nafas', 'penyakit paru', 'obstruksi saluran napa reversible asma']"
penyakit pes,['penyakit pes']
penyakit saluran empedu,"['sakit kandung empedu', 'penyakit2 kandung empedu saluran empedu']"
penyakit saluran pernapasan,"['penyakit saluran nafas kronik', 'penyakit pernapasan akut kronik', 'penyakit saluran napas atas lain', 'penyakit saluran napas akut khronik', 'penyakit saluran pernafasan akut kronik', 'penyakit saluran nafas akut', 'penyakit disebabkan oleh virus saluran nafas', 'penyakit disebabkan oleh virus saluran napas', 'penyakit saluran napa', 'penyakit saluran pernafasan akut', 'penyakit saluran pernafasan', 'penyakit saluran pernafasan kronik', 'penyakit saluran nafas akut kronik', 'penyakit saluran nafas', 'penyakitpenyakit saluran pernafasan akut kronis', 'pernapasan akut kronik', 'penyakit saluran pernafasan kronis', 'penyakit saluran napa akut kronik']"
penyakit saraf,['penyakit saraf']
penyakit tulang,['sakit tulang']
penyempitan saluran napas,"['penyempitan saluran napas', 'penyempitan', 'penyumbatan', 'penyumbatan saluran nafas', 'sumbatan saluran napas', 'penyakit penyumbatan saluran nafas']"
peradangan operasi gigi,['peradangan operasi gigi']
perdarahan gastrointestinal,"['perdarahan gastrointestinal', 'profilaksis perdarahan gastrointestinal']"
perdarahan saluran pencernaan,"['perdarahan saluran cerna atas', 'perdarahan saluran pencernaan']"
perdarahan subarachnoid,"['pendarahan subarakhnoid', 'perdarahan subarachnoid']"
periartritis,"['periartritis bahu', 'periartritis pinggul', 'periarthritis', 'periartritis']"
perikarditis,['perikarditis']
periodontitis,"['periodontitis', 'priodontitis']"
peritonitis,"['peritoditis', 'radang selaput perut', 'peritonitis radang selaput perut', 'peritonitis']"
perut kembung,"['tidak nyaman perut', 'peredangan perut kembung', 'perut kembung', 'rasa kembung', 'gejala masuk angin seperti perut kembung mual', 'kembung', 'kembung masuk angin', 'perut kembung masuk angin', 'kembung rasa tidak nyaman perut']"
pilek,"['pilek rinorea', 'pilek', 'pilek anakanak', 'pilek alergi']"
pirosis,['pirosis']
pitiriasis kapitis,['pitiriasis kapitis']
plak mulut,['akumulasi plak rongga mulut']
pleuritis,['pleuritis']
plineuritis,"['b12 plineuritis neuralgia', 'plineuritis']"
pneumonia,"['pneumonia cystitis', 'pneumonia akibat streptococcus', 's  pneumoniae', 'pneumonia akut', 'spneumoniae', 'pneumonia atipik primer', 'pneumonia komuniti', 'kuman h influenzae s pneumoniae', 'pneumonia strep hemolitikus', 'pneumonia dr lingkungan', 's pneumoniae', 'pneumonia saluran napa', 's.pneumoniae', 'streptococus pneumonia', 'pneumonia lingkungan', 'pneumonia nosokomial', 'pneumonia komunitas', 'pneumonia akibat lingkungan', 'pneumonia', 'pneumonia bakteri', 'pneumonia masyarakat', 'pneumonitis anaerob', 'acquired pneumonia', 'pneumonia yang didapat dari lingkungan', 'pneumonia komunitas communityacquired pneumonia', 'streptococcus pneumoniae', 'pneumonia didapat dari lingkungan', 'pneumonia faringitis']"
pneumonia aspirasi,['pneumonia aspirasi']
poliartritis kronik,['poliartritis kronik']
polineuritis,"['polineuritis', 'polyneuritis']"
polineuropati diabetik,"['polineuropati diabetikum', 'polineuropati diabetik']"
polip,['polip']
polip hidung,['polip hidung']
polip usus,['polip usus besar']
polisitemia vera,['polisitemia vera']
proktitis,['proktitis']
prostatitis,"['pielitis prostatitis akut kronis', 'isk prostatitis', 'prostatitis bakteri kronis', 'prostatitis akut', 'prostatitis bakterial kronik', 'prostatitis']"
prurigo,"['prurigo', 'ekzema prurigo']"
pruritus,"['pruritus anogenital', 'pruritus anogential', 'pruritus alergi', 'pruritus anus', 'alergi pruritis', 'pruritus urtikaria khronik idiopathik', 'pruritus gatalgatal anus vulvagenital external wanita', 'pruritis ani', 'pruritis', 'pruritus pada urtikaria khronik idiopathik', 'pruritus', 'pruritus atau gatalgatal pada anus dan vulvagenital external pada wanita', 'urtikaria khronik idiopathik', 'pruritus di anus', 'pruritis anogenital']"
pseudohipoparatiroidisme,['pseudohipoparatiroidisme']
psikosis,['psikosis']
psitakosis,"['lympogranulloma psittacosis', 'pittacosis', 'limfogranuloma psitakosis', 'psithachosis', 'lymphomagranuloma pittacosis', 'psittacosis', 'limfogranuloma psittacosis', 'psitakosis']"
psoriasis,"['inflamasi psoriasis', 'psoriasis kecuali plak', 'psoriasis diskoid', 'psoriasis', 'lesi psoriasis', 'vulva psoriasis', 'psoriasis ']"
punggung pegal dan kaku,['punggung pegal']
purpura,['purpura']
pusing,"['pusing yang berhubungan dengan gangguan keseimbangan pada gangguan sirkulasi darah', 'kepala pusing', 'pusing', 'pusingmigren', 'pusing berhubungan dengan gangguan keseimbangan gangguan sirkulasi darah', 'capek pusing', 'pusingpusing', 'pusing vestibular']"
rachitis,['rachitis']
radang,"['radang akut', 'radang akut berat', 'radang akibat amandel', 'radang', 'radang akut yang berat', 'peradangan']"
radang ginjal,"['radang ginjal', 'radang pasu ginjal', 'pielonefritis radang ginjal serentak radang pasu ginjal']"
radang gusi,['radang gusi']
radang hati,['peradangan hati']
radang hidung,"['peradangan mukosa hidung', 'peradangan hidung', 'peradangan akibat infeksi hidung']"
radang jaringan kuku,['radang jaringan kuku']
radang kulit,"['radang kkulit', 'radang kulit']"
radang mata,"['penyakit radang mata', 'gangguan radang mata', 'radang kornea mata', 'radang mata akibat reaksi alergi', 'peradangan mata', 'radang kantung air mata', 'radang saraf mata', 'radang selaput bening mata', 'radang selaput ikat mata', 'radang kelopak mata', 'peradangan selaput mata']"
radang mulut,"['peradangan rongga mulut tenggorokan', 'radang selaput lendir mulut', 'peradangan radang mulut', 'radang mulut']"
radang otot,['radang otot']
radang panggul,['penyakit radang panggul']
radang pankreas,['radang pankreas']
radang prostat,['radang prostat']
radang saluran pernapasan,"['radang saluran nafas', 'radang ringan saluran nafas', 'peradangan saluran pernafasan bagian atas']"
radang saraf,['radang saraf']
radang selaput lendir,['radang selaput lendir']
radang sendi,"['peradangan sendi', 'radang sendi']"
radang sumsum tulang,"['radang sumsum tulang', 'radang sumsum tulang akut']"
radang telinga,"['inflamasi radang telinga', 'radang telinga bagian luar', 'radang telinga tengah', 'radang telinga bagian luar  tengah', 'radang telinga akut kronis', 'radang rongga gendang telinga', 'radang telinga bagian luar tengah', 'radang telinga bagian tengah']"
radang tenggorokan,['radang tenggorokan']
radang usus,"['radang pada usus', 'radang usus', 'radang usus halus', 'radang usus peradangan usus']"
rakitis,"['rakhitis akibat defisiensi vit  d', 'rickets', 'infeksi ricketsia', 'rakhitis akibat defisiensi vit d', 'rachitis rickets', 'penyakit rickets', 'ricketsia', 'rakhitis']"
rambut rontok,"['kerontokan rambut', 'rambut rontok']"
reactive arthritis,['reactive arthritis']
rematik,"['renatik tulang', 'rematik', 'penyakit reumatik', 'penyakit renatik tulang', 'rheumatik', 'rematik non artikular', 'nonartikular reumatik', 'nyeri reumatik', 'reumatik tulang', 'rematik tulang', 'reumatik non artikular sakit tulang', 'reumatik non artikular', 'reumatik non sendi', 'reumatik jaringan lunak terlokalisir', 'nyeri penyakit reumatik', 'reumatik', 'non artikular reumatik', 'reumatik nonartikular', 'reumatik sendi', 'rematik nonartikular']"
retensi urin pasca operasi,['retensi urin pasca operasi']
rheumatoid arthritis,"['gejala artritis reumatoid', 'juvenile artritis reumatoid', 'rheumatoid arthritis poliartritis kronik', 'rematoid artritis', 'atritis rematoid', 'pasien rematoid atritis akut kronis', 'artritis rematoid aktif', 'reumatoid artritis akut kronis', 'rheumatoid arthritis ra', 'reumatik generatif atritis rematoid', 'rematoid atritis akut', 'rematik artritis', 'rematoid atritis akut kronis', 'gejala juvenile artritis reumatoid', 'arthritis reumatik', 'reumatoid artritis kronis', 'artritis rheumatoid juvenil', 'arthritis rheumatoid', 'reumatoid arthritis', 'rematoid atritis kronis', 'artritis rheumatoid', 'rematoid astritis ar', 'rheumatoid arthritis', 'rematoid artitis', 'reumatoid atritis kronis', 'ra', 'reumatoid atritis akut', 'nyeri rematoid atritis kronis', 'artritis rematoid', 'reumatoid atritis', 'rematoid', 'arthritis reumatoid ar', 'rheumatoid arhritis', 'reumatoid artritis', 'rematoid athritis', 'reumatoid artritis akut', 'ar', 'reumatoid atritis akut kronis', 'nyeri rematoid atritis akut', 'inflamasi degeneratif artritis rematoid', 'rheumatoid artritis', 'artritis reumatoid', 'arthritis reumatoid']"
rhinitis,"['rinitis vasomotorik', 'rhinitis vasomotor', 'rhinitis', 'rinitis menahun', 'perennial rhinitis', 'vasomotor rhinitis', 'rinitis purulen', 'rinitis parenial', 'rinitis vasomotor']"
rhinitis alergi,"['rinitis alergi tahunan musiman', 'alergi rinitis', 'rinitis persisten', 'rinitis perenial', 'rinitis alergi nasal', 'rinitis alergi perenial', 'alergi pernafasan', 'allergic rhinitis', 'rinitis alergi musiman tahunan', 'rinitis alergi seasonal', 'rinitis alergi seasonal perenial', 'rhinitis alergika', 'alergi rinitis perenial', 'rinitis alergi konjungtivitis', 'alergi rinitis intermiten persisten menerus', 'rinitis alergi musiman', 'alergi rinitis nasal nonnasal', 'alergi rinitis intermitensewaktu', 'rinitis intermiten', 'rinitis alergi persisten', 'alergi rhinitis', 'rinitis alergika', 'alergi hidung', 'rinitis musiman', 'rinitis alergik', 'rinitis alergi musiman perennial', 'rhinitis alergi', 'rinitis alergi menahun musiman', 'alergi rinitis persistenterusmenerus', 'rinitis', 'alergi rinitis intermiten persisten  menerus', 'rinitis alergi', 'alergi rinitis nasal  nonnasal']"
riketsiosis,['riketsiosis']
ruam merah,"['merah', 'kemerahan', 'ruam merah', 'bercak merah', 'kemerahan keadaan inflamasi', 'merah iritasi']"
ruam popok,['ruam popok']
sakit gigi,"['sakit saat pertumbuhan gigi', 'sakit gigi nyeri ringan', 'sakil gigi', 'sakit gigi']"
sakit kepala,"['skit kepala', 'sakit kepala derajat sedang', 'nyeri sakit kepala', 'sakit kepalan', 'sakit kepala kekakuan otot', 'sakit kepala', 'sakit kepala sebelah', 'sakit kepala vaskular', 'sakit kepala sakit gigi']"
sakit maag,"['sakit maag', 'maag']"
sakit otot,['sakit otot']
sakit pasca vaksinasi,"['sakit paska vaksinasi', 'sakit pasca vaksinasi']"
sakit perut,['sakit perut']
sakit pinggang,"['sakit pinggan', 'sakit pinggang', 'sakit otot pinggang']"
sakit punggung,"['sakit punggung', 'sakit punggung bawah', 'sakit punggung bagian bawah']"
sakit sendi,['sakit sendi']
sakit tenggorokan,"['sakıt tenggorokan', 'sakit tenggorokan', 'rasa sakit tenggorokan', 'rasa sakit di tenggorokan']"
salpingitis,['salpingitis']
sariawan,"['nyeri akibat sariawan', 'panas dalam disertai sariawan', 'sariawan', 'tukak sariawan']"
selulitis,"['selulitis pelvis', 'selulitis pelvis pasca operasi vagina', 'selulitis']"
