standardized_disease;fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases
hiperkolesterolemia;hiperkolesterolemia primer tipe iia;[];[]
hiperkolesterolemia;hiperkolesterolemia primer tipe;[];[]
hiperkolesterolemia;hiperko lesterolemia;[];[]
hiperkolesterolemia;hiperkoleterolemia primer;[];[]
hiperkolesterolemia;hiperkolesterolemia;[];[]
hiperkolesterolemia;hiperkolesterolemia primer;[];[]
hiperkolesterolemia;hiperkolesterolemia familial;[];[]
hiperkolesterolemia;hiperkolesterol primer;[];[]
hiperkolesterolemia;hiperkolesterolemia familial heterozigot;[];[]
hiperkolesterolemia;hiperkolesterol primer tipe iia;[];[]
hiperkolesterolemia;hiperkolsterolemia;[];[]
hiperlipidemia;hiperlipidemia campuran;[];[]
hiperlipidemia;hiperlipidaemia;[];[]
hiperlipidemia;hiperlipidemia;[];[]
hiperlipidemia;hiperlipidemia kombinasi campuran;[];[]
hiperlipidemia;hiperlipidemia kombinasi tipe iib ii;[];[]
hiperparatiroidisme;hiperparatiroidisme;[];[]
hiperpigmentasi;hiperpigmentasi;[];[]
hiperpigmentasi;hiperpigmentasi melanin area kulit tidak;[];[]
hiperpigmentasi;hiperpigmentasi kulit;[];[]
hiperpigmentasi;hiperpigmentasi melamin;['hiperpigmentasi melamin akibat pemakaian kontrasepsi oral'];['hiperpigmentasi melamin akibat pemakaian kontrasepsi oral']
hipersekresi mukus;hipersekresi mukus;['hipersekresi'];[]
hipertensi;darah tinggi;[];[]
hipertensi;hipertensi maligna;[];[]
hipertensi;hipertensi ringan;[];[]
hipertensi;hipertensi esensial ringan;[];[]
hipertensi;tekanan tinggi pembuluh darah arteri paruparu;[];[]
hipertensi;hipertensi nefrogenik;[];[]
hipertensi;hipertensi essensial ringan;[];[]
hipertensi;hipertensi essensial;[];[]
hipertensi;hipertensi berat;[];[]
hipertensi;hipertensi;[];[]
hipertensi;hipertensi renovaskuler;[];[]
hipertensi;hipertensi dewasa;[];[]
hipertensi;hipertensi esensial;[];[]
hipertensi;hipertensi esensial renovaskular;[];[]
hipertensi okuler;hipertensi okular responsif;[];[]
hipertensi okuler;hipertensi okular;[];[]
hipertensi okuler;hipertensi okular tidak responsif;[];[]
hipertensi okuler;hipertensi mata;[];[]
hipertensi okuler;hipertensi okuler;[];[]
hipertensi pulmonal;hipertensi pulmonal;[];[]
hiperurisemia;hiperurisemia;[];[]
hiperurisemia;hiperuresemia;[];[]
hiperurisemia;hiperurisemia sekunder;[];[]
hiperurisemia;hiperurisemia primer;[];[]
hipoalbuminemia;hipoalbuminemia;[];[]
hipokalemia;hipokalemia;[];[]
hipomagnesemia;hipomagnesia;[];[]
hipomagnesemia;hipomagnesemia;[];[]
hipoparatiroid;hipoparatiroidisme;[];[]
hipotensi;hipotensi okuler;[];[]
hipotensi;hipotensi;[];[]
hirsutisme;hirsutisme;[];[]
hirsutisme;hirsutism;[];[]
histoplasmosis;hiptoplasmosis;[];[]
histoplasmosis;histoplasmosis;[];[]
iktiosis;iktiosis;[];[]
iktiosis;ikhtiosis;[];[]
iktiosis;iktiosis kulit kering;[];[]
ileus paralitik;ileus paralitik;[];[]
impetigo;impetigo kontagiosum;[];[]
impetigo;impetigo;[];[]
impetigo;impetigo go komplikasi;[];[]
impetigo;impetigo kontagiosa;[];[]
impetigo;impetigo furunculosis;[];[]
impotensi;impoten;[];[]
impotensi;impotensi;[];[]
impotensi;impoten pria;[];[]
imunisasi;imunisasi;[];[]
infark;infark;['infark otak', 'infark miokardial', 'infark miokard akut', 'infark miokad', 'infark miokard', 'infark serebral', 'infark akut'];['infark akut']
infark jantung;infark jantung;[];[]
infeksi;infeksi eksternal;[];[]
infeksi;infeksi2;[];[]
infeksi;infeksi ringan sedang;[];[]
infeksi;infeksi berat terkomplikasi;[];[]
infeksi;infkesi;[];[]
infeksi;infeksi serius;[];[]
infeksi;infeksi lain;[];[]
infeksi;infeksi sedang;[];[]
infeksi;infeksi lain disebabkan kuman gram sensitif;[];[]
infeksi;infeksi kandida mukosa lainnya;[];[]
infeksi;infeksi;[];[]
infeksi;infeksi akut;[];[]
infeksi;infeksi berat;[];[]
infeksi;infeksi ringan;[];[]
infeksi;infeski;[];[]
infeksi;infeksi lainnya;[];[]
infeksi bakteri;infeksi akibat chlamydia trachomatis;[];[]
infeksi bakteri;staph;[];[]
infeksi bakteri;infeksi disebabkan oleh mikroorganisme gram positif gram negatif sensitif terhadap tetracyclin;[];[]
infeksi bakteri;infeksi bakteri gram positif;[];[]
infeksi bakteri;infeksi staph;[];[]
infeksi bakteri;infeksi bakteri anaerob sensitif;[];[]
infeksi bakteri;infeksi bakteri sekunder;[];[]
infeksi bakteri;bakteri gr  penyebab bakteremia;[];[]
infeksi bakteri;disebabkan oleh jamur bakteri mulut;[];[]
infeksi bakteri;bakteri gr penyebab bakteremia;[];[]
infeksi bakteri;infeksi gram;[];[]
infeksi bakteri;infeksi bakteri anaerob;[];[]
infeksi bakteri;infeksi akibat bakteri;[];[]
infeksi bakteri;bakteri gram negatif;[];[]
infeksi bakteri;infeksi gram positif negatif;[];[]
infeksi bakteri;infeksi serius bakteri anaerob;[];[]
infeksi bakteri;infeksi berat disebabkan kuman gr gr;[];[]
infeksi bakteri;infeksi bakteri sekunder bronkitis akut;[];[]
infeksi bakteri;bakteriuria asimptomatik pada masa hamil;[];[]
infeksi bakteri;gram negatif;[];[]
infeksi bakteri;infeksi serius disebabkan bakteri anaerob sensitif;[];[]
infeksi bakteri;bakteri endocarditis;[];[]
infeksi bakteri;infeksi bakteri;[];[]
infeksi bakteri;infeksi mikobakterial tertentu;[];[]
infeksi bakteri;infeksi bakteri mycobacterium tuberculosis tbc;[];[]
infeksi bakteri;eksaserbasi bakterial akut;[];[]
infeksi bakteri;anaerob;['pnemonitis anaerob'];[]
infeksi bakteri;bakteri gram positif;[];[]
infeksi bakteri;bakteri gram negativ;[];[]
infeksi bakteri;infeksi bakteri anaerob serius;[];[]
infeksi bakteri;infeksi bakterial sekunder;[];[]
infeksi bakteri;infeksi mikobakterial;[];[]
infeksi bakteri;infeksi disebabkan mikroorganisme gram positif gram negatif organisme memproduksi penisillinase;[];[]
infeksi bakteri;bakteriuria asimptomatik masa hamil;[];[]
infeksi bakteri;infeksi bakteri rentan;[];[]
infeksi bakteri;infeksi bakteri fungi mulut tenggorokan;[];[]
infeksi bakteri;infeksi gram positif gram negatif;[];[]
infeksi bakteri;infeksi bakteri sensitif moxifloxacin;[];[]
infeksi bakteri;infeksi bakteri jamur fungi;[];[]
infeksi bakteri;infeksi gr serius berat;[];[]
infeksi bakteri;infeksi bakteri sensitif levofloxacin sinusitis;[];[]
infeksi bakteri;bakteri;[];[]
infeksi bakteri;infeksi serius disebabkan bakteri sensitif;[];[]
infeksi bakteri;infeksi disebabkan bakteri anaerob;[];[]
infeksi bakteri;eritis bakterial;[];[]
infeksi bakteri;infeksi mikobakteri;[];[]
infeksi bakteri;infeksi bakteri dan jamur fungi;[];[]
infeksi bakteri;bakteri gr;[];[]
infeksi bakteri;infeksi gram positif serius berat;[];[]
infeksi bakteri;infeksi disebabkan oleh bakteri;[];[]
infeksi bakteri;infeksi serius akibat bakteri anaerob;[];[]
infeksi bakteri;infeksi oleh bakteri;[];[]
infeksi bakteri;infeksi akibat bakteri pencernaan;[];[]
infeksi bakteri;bakterial akut;[];[]
infeksi bakteri;infeksi rentan berat;[];[]
infeksi bakteri;infeksi disebabkan strain bakteri peka;[];[]
infeksi bakteri;infeksi gram positif;[];[]
infeksi bakteri;infeksi bakteri yang rentan;[];[]
infeksi bakteri;infeksi bakteri gr gr  sal nafas;[];[]
infeksi bakteri;infeksi berat disebabkan bakteri gram;[];[]
infeksi bakteri;bakteri anaerob;[];[]
infeksi bakteri;infeksi gram negatif;[];[]
infeksi bakteri;infeksi kandungan eritis bakterial;[];[]
infeksi bakteri;infeksi bakteri dan fungi pada mulut dan tenggorokan;[];[]
infeksi bakteri;infeksi akibat bakteri saluran pernapasan;[];[]
infeksi bakteri;infeksi anaerob;[];[]
infeksi bakteri;infeksi bakteri lipatan kulit;[];[]
infeksi bakteri;infeksi bakterial mata;[];[]
infeksi bakteri;infeksi akibat bakteri saluran kemih;[];[]
infeksi bakteri;infeksi bakteri pada lipatan kulit;[];[]
infeksi bakteri;bakterial;[];[]
infeksi bakteri;infeksi sekunder bakteri gram positif;[];[]
infeksi bakteri;infeksi bakteri gr gr sal nafas;[];[]
infeksi genital;infeksi anogenital;['infeksi anogenital urethral'];['infeksi anogenital urethral']
infeksi genital;infeksi genital;[];[]
infeksi gigi;infeksi gigi;[];[]
infeksi ginjal;infeksi ginjal;[];[]
infeksi ginjal;pielonefritis infeksi ginjal akut;[];[]
infeksi ginjal;infeksi pada ginjal;[];[]
infeksi ginjal;pielonefritis akut;['pielonefritis'];['pielonefritis']
infeksi helicobacter pylori;infeksi bakteri helicobacter pylorus;[];[]
infeksi jamur;infeksi jamur ringworm kulit rambut kuku disebabkan microsporum epidermophyton trichophyton;[];[]
infeksi jamur;infesi jamur;[];[]
infeksi jamur;infeksi jamur ring worm kulit;[];[]
infeksi jamur;infeksi jamur tubuh;[];[]
infeksi jamur;infeksi fungi;[];[]
infeksi jamur;fungi;[];[]
infeksi jamur;infeksi jamur kulit kulit kepala kuku;[];[]
infeksi jamur;infeksi jamur pada kulit dengan inflamasiperadangan;[];[]
infeksi jamur;infeksi jamur kulit dengan inflamasiperadangan;[];[]
infeksi jamur;infeksi jamur sistemik;[];[]
infeksi jamur;infeksi jamur ringworm kulit  rambut kuku disebabkan microsporum  epidermophyton trichophyton;[];[]
infeksi jamur;infeksi jamur fungi;[];[]
infeksi jamur;infeksi akibat jamur;[];[]
infeksi jamur;jamur;[];[]
infeksi jamur;infeksi jamur ring  worm kulit;[];[]
infeksi jamur;profilaksis infeksi jamur;[];[]
infeksi jamur;infeksi jamur kandidiasis;[];[]
infeksi jamur;infeksi jamur pada kulit kulit kepala dan kuku;[];[]
infeksi jamur;infeksi jamur;[];[]
infeksi jamur kuku;infeksi jamur kuku;[];[]
infeksi jamur kuku;infeksi jamur pada kuku;[];[]
infeksi jamur kulit;infeksi jamur kulit kepala;[];[]
infeksi jamur kulit;dermatofita;[];[]
infeksi jamur kulit;infeksi dermatofita kulit kuku tangan;[];[]
infeksi jamur kulit;infeksi dermatofit;[];[]
infeksi jamur kulit;infeksi dermatofita kuku kaki;[];[]
infeksi jamur kulit;infeksi jamur kulit kuku;[];[]
infeksi jamur kulit;infeksi di kulit  jaringan lunak;[];[]
infeksi jamur kulit;infeksi jamur pada kulit;[];[]
infeksi jamur kulit;infeksi kuku kulit dermatofita;[];[]
infeksi jamur kulit;infeksi jamur lipatan kulit;[];[]
infeksi jamur kulit;dermatofit;[];[]
infeksi jamur kulit;infeksi jamur kulit;[];[]
infeksi jamur kulit;infeksi jamur pada kulit dan kuku;[];[]
infeksi jamur rambut;infeksi jamur rambut;[];[]
infeksi kuku;infeksi kuku;[];[]
infeksi kulit;infeksi serius jaringan lunak kulit;[];[]
infeksi kulit;infeksi kulit membran mukosa luar;[];['infeksi mikotik kulit disebabkan candida albikans']
infeksi kulit;infeksi sekunder pyoderma;[];[]
infeksi kulit;infeksi kulit lain;[];[]
infeksi kulit;infeksi kuku kulit;[];[]
infeksi kulit;infeksi kulit mukosa;[];[]
infeksi kulit;infeksi kulit  jaringan lunak;[];[]
infeksi kulit;infeksi kulit dan jaringan lunak tanpa komplikasi;[];[]
infeksi kulit;infeksi kulit lain organisme peka terhadap kloramfenikol;[];[]
infeksi kulit;infeksi sekunder kulit;[];[]
infeksi kulit;infeksi kulit primer dan sekunder;[];[]
infeksi kulit;infeksi kulit jelunak;[];[]
infeksi kulit;infeksi kulit dan jaringan lunak;[];[]
infeksi kulit;infeksi kulit dan membran mukosa lokal;[];[]
infeksi kulit;infeksi jaringan lunak kulit;[];[]
infeksi kulit;infeksi kulit lainnya;[];[]
infeksi kulit;lesi kulit dengan infeksi primer sekunder oleh bakteri streptokokus;[];[]
infeksi kulit;infeksi kulit jaringan lunak;[];[]
infeksi kulit;infeksi kulit membran mukosa lokal;[];[]
infeksi kulit;infeksi kulit struktur kulit komplikasi;[];[]
infeksi kulit;kulit jar lunak infeksi serius;[];[]
infeksi kulit;infeksi sekunder luka terbuka;[];[]
infeksi kulit;infeksi kulit struktur kulit ringan terkomplikasi;[];[]
infeksi kulit;infeksi jaringan lunak;[];[]
infeksi kulit;infeksi kulit jar lunak;[];[]
infeksi kulit;infeksi mikotik kulit;[];[]
infeksi kulit;infeksi jar lunak;[];[]
infeksi kulit;infeksi pada kulit;[];[]
infeksi kulit;infeksi kulit pioderma;[];[]
infeksi kulit;infeksi kulit struktur kulit;[];[]
infeksi kulit;infeksi kulit struktur kulit tak terkomplikasi;[];[]
infeksi kulit;infeksi kulit jaringan lunak tanpa komplikasi;[];[]
infeksi kulit;infeksi kulit dan strukturnya tanpa komplikasi;[];[]
infeksi kulit;infeksi kulit jaringan luka;[];[]
infeksi kulit;pioderma dermatitis infeksi sekunder;[];[]
infeksi kulit;infeksi kulit sekunder;[];[]
infeksi kulit;infeksi kulit dan struktur kulit;[];[]
infeksi kulit;pioderma;[];[]
infeksi kulit;struktur kulit infeksi;[];[]
infeksi kulit;infeksi kulit primer akut;[];[]
infeksi kulit;pioderma primer sekunder;[];[]
infeksi kulit;infeksi kulit kepala demartitis sebaroik ringan;[];[]
infeksi kulit;infeksi kulit lain karena organisme yang peka terhadap kloramfenikol;[];[]
infeksi kulit;infeksi kulit dan struktur kulit tak terkomplikasi;[];[]
infeksi kulit;infeksi kulit jar lunak terkomplikasi;[];[]
infeksi kulit;infeksi kulit primer sekunder;[];[]
infeksi kulit;infeksi jaringan;[];[]
infeksi kulit;infeksi kulit strukturnya tanpa komplikasi;[];[]
infeksi kulit;infeksi kulit primer;[];[]
infeksi kulit;infeksi kulit termasuk herpes genital rekuren herpes labialis;[];[]
infeksi kulit;infeksi kulit kepala;[];[]
infeksi kulit;infeksi jarang lunak;['kulit jarang lunak'];[]
infeksi kulit;infeksi kulit dan membran mukosa luar;[];[]
infeksi kulit;infeksi kulit struktur kulit terkomplikasi;[];[]
infeksi kulit;infeksi basah kering kulit bayi;[];[]
infeksi kulit;infeksi struktur kulit;[];[]
infeksi kulit;lesi kulit traumatik infeksi sekunder;[];[]
infeksi kulit;infeksi kulit primer maupun sekunder;[];[]
infeksi kulit;terapi infeksi kulit;[];[]
infeksi kulit;pioderma gangrenosa;[];[]
infeksi kulit;infeksi kulit;[];[]
infeksi kulit;infeksi kulit termasuk herpes genital rekuren;[];[]
infeksi kulit;pyoderma;[];[]
infeksi kulit;infeksi kulit termasuk herpes genital rekuren dan herpes labialis;[];[]
infeksi kulit;infeksi primer sekunder;[];[]
infeksi kulit;kulit infeksi;[];[]
infeksi kulit;infeksi kulit dan jar lunak;[];[]
infeksi kulit;mikosis kulit lain;[];[]
infeksi kulit;infeksi kulit struktur kulit tidak terkomplikasi;[];[]
infeksi lambung;infeksi lambung;[];[]
infeksi luka operasi;infeksi operasi;[];[]
infeksi luka operasi;luka dengan infeksi;['gatal dengan luka ringan'];[]
infeksi luka operasi;infeksi luka;[];[]
infeksi luka operasi;infeksi operasi esofangeal;[];[]
infeksi luka operasi;infeksi luka operasi;[];[]
infeksi luka operasi;luka paska operasi;[];[]
infeksi luka operasi;infeksi sesudah operasi;[];[]
infeksi luka operasi;luka terinfeksi;[];[]
infeksi luka operasi;infeksi pasca operasi;[];[]
infeksi mata;infeksi mata disebabkan oleh bakteri gram negatif;[];[]
infeksi mata;infeksi ocular;['inflamasi gangguan ocular', 'gangguan inflamasi ocular'];[]
infeksi mata;infeksi eksternal bola mata struktur terkait;[];[]
infeksi mata;infeksi eksternal mata;[];[]
infeksi mata;infeksi mata eksternal bola mata;[];[]
infeksi mata;infeksi mata;[];[]
infeksi mata;infeksi okular;[];[]
infeksi mata;infeksi pada mata;[];[]
infeksi mata;infeksi mata okular;[];[]
infeksi mulut;infeksi mulut;[];[]
infeksi mulut;infeksi jamur fungi rongga mulut tenggorokan;[];[]
infeksi mulut;infeksi jamur rongga mulut;[];[]
infeksi mulut;infeksi jamur dalam rongga mulut;[];[]
infeksi mulut;infeksi rongga mulut;[];[]
infeksi paru-paru;infeksi paru-paru;[];[]
infeksi paru-paru;infeksi paru;[];[]
infeksi perut;infeksi perut;[];[]
infeksi protozoa;infeksi protozoa;[];[]
infeksi rahim;infeksi rahim;[];[]
infeksi salmonella;infeksi disebabkan oleh salmonella;[];[]
infeksi salmonella;infeksi disebabkan salmonella;[];[]
infeksi salmonella;salmonella sp;[];[]
infeksi salmonella;salmonelosis infeksi urogenital;[];[]
infeksi salmonella;infeksi disebabkan oleh salmonella sp;[];[]
infeksi salmonella;infeksi salmonella sp;[];[]
infeksi salmonella;infeksi salmonella sp sp;[];[]
infeksi salmonella;salmonelosis  infeksi urogenital;[];[]
infeksi salmonella;salmonelosis;[];[]
infeksi salmonella;infeksi salmonele;[];[]
infeksi salmonella;infeksi salmonella spp;[];[]
infeksi salmonella;infeksi yang disebabkan oleh salmonella;[];[]
infeksi salmonella;infeksi salmonella;[];[]
infeksi salmonella;infeksi disebabkan salmonella sp;[];[]
infeksi salmonella;salmonellosis;[];[]
infeksi salmonella;salmonella;[];[]
infeksi salmonella;infeksi yang disebabkan oleh salmonella sp;[];[]
infeksi saluran kelamin;infeksi kelamin;[];[]
infeksi saluran kelamin;kelamin infeksi;[];[]
infeksi saluran kelamin;infeksi sal kelamin;[];[]
infeksi saluran kemih;saluran kemih kelamin infeksi;[];[]
infeksi saluran kemih;infeksi traktus genitourinary;[];[]
infeksi saluran kemih;infeksi pada saluran kemih;[];[]
infeksi saluran kemih;komplikasi infeksi saluran kemih;[];[]
infeksi saluran kemih;infeksi saluran kelamin;[];[]
infeksi saluran kemih;infeksi akut non komplikata saluran kemih bagian bawah;[];[]
infeksi saluran kemih;infeksi saluran kemih akut komplikasi;[];[]
infeksi saluran kemih;infeksi saluran kencing;[];[]
infeksi saluran kemih;infeksi traktus urinarius;[];[]
infeksi saluran kemih;infeksi saluran urin;[];[]
infeksi saluran kemih;isk komplikasi;[];[]
infeksi saluran kemih;infeksi saluran kemih komplikasi;[];[]
infeksi saluran kemih;infeksi sal urogenital kemih kelamin;[];[]
infeksi saluran kemih;infeksi saluran kemih bagian bawah;[];[]
infeksi saluran kemih;infeksi saluran kemih dan kelamin;[];[]
infeksi saluran kemih;infeksi saluran kemih tanpa komplikasi;[];[]
infeksi saluran kemih;saluran kemih kelamin infeksi kulit jaringan lunak;[];[]
infeksi saluran kemih;infeksi saluran kemih tidak terkomplikasi disebabkan escherichia coli proteus mirabilis;[];[]
infeksi saluran kemih;infeksi saluran urogenital;[];[]
infeksi saluran kemih;infeksi saluran kemih  kelamin;[];[]
infeksi saluran kemih;complicated urinary tract infection;[];[]
infeksi saluran kemih;infeksi saluran kemih kompleks complicated urinary tract infection;[];[]
infeksi saluran kemih;infeksi saluran kemih kompleks;[];[]
infeksi saluran kemih;kelamin infeksi kulit jaringan lunak;[];[]
infeksi saluran kemih;infeksi sal kemih;[];[]
infeksi saluran kemih;infeksi urogenital;[];[]
infeksi saluran kemih;infeksi traktus urinarius pielonefritis;[];[]
infeksi saluran kemih;infeksi saluran genitourinaria;[];[]
infeksi saluran kemih;isk terkomplikasi pielonefritis akut;['isk pielonefritis ringan'];['isk pielonefritis ringan']
infeksi saluran kemih;infeksi sal gl;[];[]
infeksi saluran kemih;infeksi saluran genitourinari;[];[]
infeksi saluran kemih;infeksi saluram urinarius;[];[]
infeksi saluran kemih;isk terkomlikasi;[];[]
infeksi saluran kemih;infeksi saluran genitourinary;[];[]
infeksi saluran kemih;infeksi saluran kemih;[];[]
infeksi saluran kemih;infeksi di saluran kemih;[];[]
infeksi saluran kemih;infeksi saluran kemih kelamin;[];[]
infeksi saluran kemih;infeksi saluran kemih akut;[];[]
infeksi saluran kemih;infeksi saluran gl;[];[]
infeksi saluran kemih;isk;[];[]
infeksi saluran kemih;infeksi bakteri saluran kemih;[];[]
infeksi saluran kemih;infeksi saluran urinarius;[];[]
infeksi saluran kemih;infeksi saluran kemih kecuali prostatitis;[];[]
infeksi saluran kemih;saluran kemih organ genital wanita;[];[]
infeksi saluran kemih;infeksi saluran kemih dengan komplikasi;[];[]
infeksi saluran kemih;isk terkomplikasi;[];[]
infeksi saluran pencernaan;infeksi pernafasan saluran cerna;[];[]
infeksi saluran pencernaan;infeksi intraabdomen;[];[]
infeksi saluran pencernaan;infeksi saluran cerna;[];[]
infeksi saluran pencernaan;lesi di saluran pencernaan;[];[]
infeksi saluran pencernaan;infeksi intraabdominal;[];[]
infeksi saluran pencernaan;infeksi intraabdomen komplikasi;[];[]
infeksi saluran pencernaan;infeksi abdomen;['infeksi intra abdomen komplikasi', 'infeksi intra abdomen'];['infeksi intra abdomen komplikasi', 'infeksi intra abdomen']
infeksi saluran pencernaan;infeksi saluran cerna tifoid paratifoid;[];[]
infeksi saluran pencernaan;proteus mirabilisinfeksi saluran pencernaan;[];[]
infeksi saluran pencernaan;infeksi gut;[];[]
infeksi saluran pencernaan;sal cerna tifoid paratifoid;[];[]
infeksi saluran pencernaan;infeksi sistem pencernaan;[];[]
infeksi saluran pencernaan;infeksi intraabdomen dengan komplikasi;[];[]
infeksi saluran pencernaan;infeksi pencernaan;[];[]
infeksi saluran pencernaan;infeksi saluran pencernaan;[];[]
infeksi saluran pencernaan;lesi saluran pencernaan;[];[]
infeksi saluran pencernaan;infeksi sal cerna;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan bagian atas;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bawah atas;[];[]
infeksi saluran pernapasan;infeksi tht;['infeksi mikroorganisme peka tht', 'infeksi tht faringotonsilitis'];['infeksi mikroorganisme peka tht', 'infeksi tht faringotonsilitis']
infeksi saluran pernapasan;infeksi saluran pernafasan bawah;[];[]
infeksi saluran pernapasan;infeksi saluran napas;[];[]
infeksi saluran pernapasan;infeksi sal nafas atas bawah;[];[]
infeksi saluran pernapasan;infeksi serius saluran nafas bag bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas kecuali pneumonia strep hemolitikus;[];[]
infeksi saluran pernapasan;infeksi saluran napas atas;[];[]
infeksi saluran pernapasan;infeksi saluran nafas akut;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan bagian atas;[];[]
infeksi saluran pernapasan;infeksi saluran nafas dan tht;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bawah dan atas;[];[]
infeksi saluran pernapasan;infeksi saluran nafas;[];[]
infeksi saluran pernapasan;infeksi ringan saluran nafas;[];[]
infeksi saluran pernapasan;infeksi sal nafas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bagian atas dan bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran napas atas dan bawah;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan bawah;[];[]
infeksi saluran pernapasan;saluran nafas akut kronik;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan bagian atas bawah;[];[]
infeksi saluran pernapasan;infeksi bakteri saluran pernafasan;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan bagian atas  bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas dan bawah;[];[]
infeksi saluran pernapasan;infeksi pernafasan;[];[]
infeksi saluran pernapasan;infeksi berat sal nafas;[];[]
infeksi saluran pernapasan;infeksi saluran nafas akut dan kronik;[];[]
infeksi saluran pernapasan;infeksi saluran nafas kulit jaringan lunak;[];[]
infeksi saluran pernapasan;infeksi saluran pencernaan saluran kemih;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan bagian bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas atas dan bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas tht;[];[]
infeksi saluran pernapasan;infeksi saluran napa;[];[]
infeksi saluran pernapasan;infeksi virus sal napa;[];[]
infeksi saluran pernapasan;sal nafas kecuali pneumonia strep;[];[]
infeksi saluran pernapasan;infeksi ringan sedang sal nafas bawah atas kulit struktur kulit phs;[];[]
infeksi saluran pernapasan;infeksi sal pernafasan atas;[];[]
infeksi saluran pernapasan;infeksi saluran pernfasan bagian atas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan atas;[];[]
infeksi saluran pernapasan;infeksi sal nafas;[];[]
infeksi saluran pernapasan;infeksi serius saluran nafas bag bwh;[];[]
infeksi saluran pernapasan;infeksi saluran nafas atas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas khronik;[];[]
infeksi saluran pernapasan;infeksi sal nafas atas;[];[]
infeksi saluran pernapasan;infeksi saluran nafas atas;[];[]
infeksi saluran pernapasan;saluran napas akut;[];[]
infeksi saluran pernapasan;infeksi traktus respiratorius;[];[]
infeksi saluran pernapasan;infeksi sal nafas bakteri gr;[];[]
infeksi saluran pernapasan;infeksi sal nafas atas dan bawah;[];[]
infeksi saluran pernapasan;infeksi serius disebabkan bakteri sensitif infeksi saluran nafas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan atas dan bawah;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan;[];[]
infeksi saluran pernapasan;infeksi saluran nafas akut khronik;[];[]
infeksi saluran pernapasan;saluran nafas atas;[];[]
infeksi saluran pernapasan;infeksi saluran napas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas akut dan khronik;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan atas  bawah;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan atas bawah;[];[]
infeksi saluran pernapasan;infeksi sal napa;[];[]
infeksi saluran pernapasan;infeksi ringan  sedang sal nafas bawah dan atas kulit dan struktur kulit phs;[];[]
infeksi saluran pernapasan;infeksi saluran nafas kulit dan jaringan lunak;[];[]
infeksi saluran pernapasan;infeksi saluran napa akut;[];[]
infeksi saluran pernapasan;infeksi saluran napa akut kronik;[];[]
infeksi saluran pernapasan;infeksi sal;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bagian atas bawah;[];[]
infeksi saluran pernapasan;infeksi sal nafas kulit;[];[]
infeksi saluran pernapasan;infeksi saluran nafas akut kronik;[];[]
infeksi saluran pernapasan;infeksi saluran napas atas bawah;[];[]
infeksi saluran pernapasan;infeksi serius saluran nafas;[];[]
infeksi saluran pernapasan;infeksi sal nafas lainnya;[];[]
infeksi saluran pernapasan;tht;[];[]
infeksi saluran pernapasan;infeksi saluran napas atas  bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas kronik;[];[]
infeksi sekunder;infeksi sekunder;[];[]
infeksi sekunder;komplikasi infeksi sekunder;[];[]
infeksi selaput lendir mulut;infeksi selaput lendir mulut;[];[]
infeksi sendi;infeksi sendi;[];[]
infeksi staphylococcus;lesi kulit dengan infeksi primer sekunder oleh bakteri stafilokokus;[];[]
infeksi staphylococcus;staphylococcus aureus;[];[]
infeksi staphylococcus;staphylococcus;[];[]
infeksi staphylococcus;infeksi disebabkan staphylococcus;[];[]
infeksi staphylococcus;infeksi serius staph;[];[]
infeksi staphylococcus;staphyloccocus aureus;[];[]
infeksi staphylococcus;infeksi staphylococcus;[];[]
infeksi staphylococcus;luka terinfeksi disebabkan oleh staphylococcus aureus;[];[]
infeksi staphylococcus;bakteri staph;[];[]
infeksi staphylococcus;staphylococcusa aureus;[];[]
infeksi staphylococcus;staphylococci;[];[]
infeksi streptococcus;streptococcus viridans;[];[]
