standardized_disease;fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases
herpes genital (herpes simplex);infeksi herpes simplex kulit;[];[]
herpes genital (herpes simplex);infeksi herpes simplex;[];[]
herpes genital (herpes simplex);herpes simpleks;[];[]
herpes genital (herpes simplex);infeksi awal herpes labialis;[];[]
herpes genital (herpes simplex);infeksi virus herpes simpleks;[];[]
herpes genital (herpes simplex);lichen simplek;[];[]
herpes genital (herpes simplex);alergi kulit selaput lendir;[];[]
herpes genital (herpes simplex);herpes genital awal  rekuren;[];[]
herpes genital (herpes simplex);herpes genital awal;[];[]
herpes genital (herpes simplex);virus herpes simpleks;[];[]
herpes genital (herpes simplex);pencegahan infeksi herpes simplex;[];[]
herpes genital (herpes simplex);herpes ginital awal;[];[]
herpes genital (herpes simplex);herpes simplek;[];[]
herpes genital (herpes simplex);herpes genital rekuren;[];[]
herpes genital (herpes simplex);herpes ginital;[];[]
herpes genital (herpes simplex);herpes simplex;[];[]
herpes genital (herpes simplex);herpes genital berulang;[];[]
herpes genital (herpes simplex);infeksi virus herpes simpleks pada kulit dan selaput lendir;[];[]
herpes genital (herpes simplex);herpes genitalis;[];[]
herpes genital (herpes simplex);infeksi herpes simpleks kulit;[];[]
herpes genital (herpes simplex);herpes simplex dan zoster;[];[]
herpes genital (herpes simplex);rekuren;[];[]
herpes zoster;infeksi virus herpes zoster;[];[]
herpes zoster;zoster;[];[]
herpes zoster;herpes zoster;[];[]
hidung tersumbat;hidung tersumbatgatal;[];[]
hidung tersumbat;gatal hidung;[];[]
hidung tersumbat;hidung tersumbat pilek;[];[]
hidung tersumbat;pilek gatal hidung;[];[]
hidung tersumbat;hidung berair tersumbat;[];[]
hidung tersumbat;hidung tersumbat/gatal;[];[]
hidung tersumbat;tenggorokan hidung tersumbat;[];[]
hidung tersumbat;tersumbat;[];[]
hidung tersumbat;hidung berair;[];[]
hidung tersumbat;hidung tersumbat bersinbersin;[];[]
hidung tersumbat;gatal hidung tenggorokan;[];[]
hidung tersumbat;hidung tersumbat;[];[]
hiperasiditas gastrointestinal;hiperasiditas gastrointestinal;[];[]
hiperasiditas gastrointestinal;hiperasiditas pencernaan;[];[]
hiperasiditas gastrointestinal;hiperasiditas lambung;[];[]
hiperasiditas gastrointestinal;hiperasiditas kembung;[];[]
hiperasiditas gastrointestinal;hiperasiditas;[];[]
hiperasiditas gastrointestinal;hiperasiditas lambung saluran cerna;[];[]
hiperemesis gravidarum;hiperemesis gravidarum;[];[]
hiperemesis gravidarum;hiperemesis gravidarum muntahmuntah 3 kehamilan;[];[]
hiperemesis gravidarum;emesis gravidarum;[];[]
hiperglikemia;hiperglikemia;[];[]
hiperkalemia;hiperkalemia;[];[]
hiperkolesterolemia;hiperkolesterolemia primer;[];[]
hiperkolesterolemia;hiperkolesterolemia primer tipe;[];[]
hiperkolesterolemia;hiperko - lesterolemia;[];[]
hiperkolesterolemia;hiperkolesterolemia primer tipe iia;[];[]
hiperkolesterolemia;hiperkolesterol primer;[];[]
hiperkolesterolemia;hiperko lesterolemia;[];[]
hiperkolesterolemia;hiperkolesterolemia tipe iia;[];[]
hiperkolesterolemia;hiperkolesterol primer tipe iia;[];[]
hiperkolesterolemia;hiperkolesterolemia familial heterozigot;[];[]
hiperkolesterolemia;hiperkolesterolemia;[];[]
hiperkolesterolemia;heterozigot familial;[];[]
hiperkolesterolemia;hiperkolsterolemia;[];[]
hiperkolesterolemia;hiperkolesterolemia familial heterozigot homozigot;[];[]
hiperkolesterolemia;hiperkoleterolemia primer;[];[]
hiperkolesterolemia;hiperkolesterolemia familial;[];[]
hiperkolesterolemia;hiperkolesterolemia hip;[];[]
hiperlipidemia;hiperlipidemia kombinasi tipe iib ii;[];[]
hiperlipidemia;hiperlipidemia kombinasi campuran;[];[]
hiperlipidemia;hiperlipidaemia;[];[]
hiperlipidemia;hiperlipidemia campuran;[];[]
hiperlipidemia;hiperlipidemia;[];[]
hiperparatiroidisme;hiperparatiroidisme;[];[]
hiperpigmentasi;hiperpigmentasi melanin area kulit tidak;[];[]
hiperpigmentasi;hiperpigmentasi;[];[]
hiperpigmentasi;hiperpigmentasi melamin akibat pemakaian kontrasepsi oral;[];[]
hiperpigmentasi;hiperpigmentasi kulit;[];[]
hiperpigmentasi;hiperpigmentasi melamin;[];[]
hipersekresi;hipersekreksi;[];[]
hipersekresi;hipersekreasi;[];[]
hipersekresi;hipersekresi;['hipersekresi asam lambung'];['hipersekresi asam lambung']
hipersekresi mukus;hipersekresi mukus;[];[]
hipersekresi patologis;hipersekreasi patologis;[];[]
hipersekresi patologis;hipersekretori patologikal;[];[]
hipersekresi patologis;hipersekresi patologis lainnya;[];[]
hipersekresi patologis;hipersekretori patologis;[];[]
hipersekresi patologis;hipersekrusi patologis;[];[]
hipersekresi patologis;hipersekresiu patologik;[];[]
hipersekresi patologis;hipersekresi patologis;[];[]
hipersekresi patologis;hiperseresi patologis;[];[]
hipersekresi patologis;hipersekresi patologi;[];[]
hipertensi;hipertensi esensial ringan;[];[]
hipertensi;tekanan tinggi pembuluh darah arteri paruparu;[];[]
hipertensi;hipertensi essensial ringan;[];[]
hipertensi;hipertensi essensial;[];[]
hipertensi;hipertensi dewasa;[];[]
hipertensi;hipertensi berat;[];[]
hipertensi;hipertensi esensial renovaskular;[];[]
hipertensi;hipertensi;[];[]
hipertensi;hipertensi nefrogenik;[];[]
hipertensi;darah tinggi;[];[]
hipertensi;hipertensi renovaskuler;[];[]
hipertensi;hipertensi maligna;[];[]
hipertensi;hipertensi ringan;[];[]
hipertensi;hipertensi esensial;[];[]
hipertensi okuler;hipertensi okular tidak responsif;[];[]
hipertensi okuler;hipertensi okuler;[];[]
hipertensi okuler;hipertensi okular responsif;[];[]
hipertensi okuler;hipertensi mata;[];[]
hipertensi okuler;hipertensi okular;[];[]
hipertensi pulmonal;hipertensi pulmonal;[];[]
hiperurisemia;hiperurisemia;[];[]
hiperurisemia;hiperurisemia primer;[];[]
hiperurisemia;hiperurisemia sekunder;[];[]
hiperurisemia;hiperuresemia;[];[]
hipoalbuminemia;hipoalbuminemia;[];[]
hipokalemia;hipokalemia;[];[]
hipomagnesemia;hipomagnesia;[];[]
hipomagnesemia;hipomagnesemia;[];[]
hipoparatiroid;hipoparatiroidisme;[];[]
hipotensi;hipotensi;[];[]
hipotensi;hipotensi okuler;[];[]
hirsutisme;hirsutisme;[];[]
hirsutisme;hirsutism;[];[]
histoplasmosis;histoplasmosis;[];[]
histoplasmosis;hiptoplasmosis;[];[]
iktiosis;iktiosis;[];[]
iktiosis;iktiosis kulit kering;[];[]
iktiosis;ikhtiosis;[];[]
ileus paralitik;ileus paralitik;[];[]
impetigo;impetigo kontagiosum;[];[]
impetigo;impetigo;[];[]
impetigo;impetigo furunculosis;[];[]
impetigo;impetigo go komplikasi;[];[]
impetigo;impetigo kontagiosa;[];[]
impotensi;impoten pria;[];[]
impotensi;impoten;[];[]
impotensi;impotensi;[];[]
imunisasi;imunisasi;[];[]
infark;infark;[];[]
infark;infark akut;[];[]
infark jantung;infark jantung;[];[]
infark miokard;infark miokad;[];[]
infark miokard;pasca infark miokard;[];[]
infark miokard;infark miokard akut;[];[]
infark miokard;infark miokard;[];[]
infark miokard;infark miokardial;[];[]
infark otak;infark serebral;[];[]
infark otak;infark otak;[];[]
infeksi;infeksi serius;[];[]
infeksi;infeksi ringan;[];[]
infeksi;infeksi kandida mukosa lainnya;[];[]
infeksi;infeksi lain;[];[]
infeksi;infeksi2;[];[]
infeksi;infeksi;[];[]
infeksi;infeksi berat;[];[]
infeksi;infeski;[];[]
infeksi;infeksi eksternal;[];[]
infeksi;infkesi;[];[]
infeksi;infeksi berat terkomplikasi;[];[]
infeksi;infeksi ringan sedang;[];[]
infeksi;infeksi lainnya;[];[]
infeksi;infeksi akut;[];[]
infeksi;infeksi lain disebabkan kuman gram sensitif;[];[]
infeksi;infeksi sedang;[];[]
infeksi bakteri;infeksi mikobakterial;[];[]
infeksi bakteri;infeksi disebabkan oleh mikroorganisme gram positif gram negatif sensitif terhadap tetracyclin;[];[]
infeksi bakteri;infeksi disebabkan mikroorganisme gram positif gram negatif organisme memproduksi penisillinase;[];[]
infeksi bakteri;infeksi akibat bakteri pencernaan;[];[]
infeksi bakteri;bakteri gr  penyebab bakteremia;[];[]
infeksi bakteri;bakteri;[];[]
infeksi bakteri;bakteri gram positif;[];[]
infeksi bakteri;infeksi gram positif gram negatif;[];[]
infeksi bakteri;infeksi bakteri anaerob;[];[]
infeksi bakteri;infeksi bakteri gram positif;[];[]
infeksi bakteri;bakteri gram negativ;[];[]
infeksi bakteri;infeksi akibat bakteri saluran pernapasan;[];[]
infeksi bakteri;bakteri gr penyebab bakteremia;[];[]
infeksi bakteri;infeksi bakteri lipatan kulit;[];[]
infeksi bakteri;infeksi bakteri gr gr sal nafas;[];[]
infeksi bakteri;infeksi rentan berat;[];[]
infeksi bakteri;infeksi mikobakteri;[];[]
infeksi bakteri;infeksi gram positif serius berat;[];[]
infeksi bakteri;infeksi oleh bakteri;[];[]
infeksi bakteri;bakterial;[];[]
infeksi bakteri;infeksi staph;[];[]
infeksi bakteri;infeksi serius akibat bakteri anaerob;[];[]
infeksi bakteri;bakteriuria asimptomatik pada masa hamil;[];[]
infeksi bakteri;infeksi bakteri sensitif levofloxacin sinusitis;[];[]
infeksi bakteri;eritis bakterial;[];[]
infeksi bakteri;bakteri gr;[];[]
infeksi bakteri;infeksi bakterial sekunder;[];[]
infeksi bakteri;infeksi akibat bakteri;[];[]
infeksi bakteri;infeksi serius disebabkan bakteri sensitif;[];[]
infeksi bakteri;infeksi sekunder bakteri gram positif;[];[]
infeksi bakteri;infeksi bakteri jamur fungi;[];[]
infeksi bakteri;eksaserbasi bakterial akut;[];[]
infeksi bakteri;bakteriuria asimptomatik masa hamil;[];[]
infeksi bakteri;infeksi bakteri rentan;[];[]
infeksi bakteri;infeksi serius bakteri anaerob;[];[]
infeksi bakteri;infeksi bakteri dan jamur fungi;[];[]
infeksi bakteri;infeksi disebabkan bakteri anaerob;[];[]
infeksi bakteri;bakteri anaerob;[];[]
infeksi bakteri;bakteri gram negatif;[];[]
infeksi bakteri;bakterial akut;[];[]
infeksi bakteri;infeksi bakteri sekunder bronkitis akut;[];[]
infeksi bakteri;infeksi gram positif negatif;[];[]
infeksi bakteri;bakteri endocarditis;[];[]
infeksi bakteri;infeksi gram;[];[]
infeksi bakteri;anaerob;[];[]
infeksi bakteri;infeksi bakteri;[];[]
infeksi bakteri;infeksi disebabkan strain bakteri peka;[];[]
infeksi bakteri;gram negatif;[];[]
infeksi bakteri;infeksi serius disebabkan bakteri anaerob sensitif;[];[]
infeksi bakteri;infeksi kandungan eritis bakterial;[];[]
infeksi bakteri;disebabkan oleh jamur bakteri mulut;[];[]
infeksi bakteri;infeksi bakteri yang rentan;[];[]
infeksi bakteri;staph;[];[]
infeksi bakteri;infeksi mikobakterial tertentu;[];[]
infeksi bakteri;infeksi bakteri sekunder;[];[]
infeksi bakteri;infeksi berat disebabkan kuman gr gr;[];[]
infeksi bakteri;infeksi bakteri anaerob serius;[];[]
infeksi bakteri;infeksi gr serius berat;[];[]
infeksi bakteri;infeksi akibat bakteri saluran kemih;[];[]
infeksi bakteri;infeksi bakteri dan fungi pada mulut dan tenggorokan;[];[]
infeksi bakteri;infeksi anaerob;[];[]
infeksi bakteri;infeksi bakteri sensitif moxifloxacin;[];[]
infeksi bakteri;infeksi bakterial mata;[];[]
infeksi bakteri;infeksi gram positif;[];[]
infeksi bakteri;infeksi bakteri gr gr  sal nafas;[];[]
infeksi bakteri;infeksi gram negatif;[];[]
infeksi bakteri;infeksi bakteri fungi mulut tenggorokan;[];[]
infeksi bakteri;infeksi berat disebabkan bakteri gram;[];[]
infeksi bakteri;infeksi bakteri mycobacterium tuberculosis tbc;[];[]
infeksi bakteri;infeksi akibat chlamydia trachomatis;[];[]
infeksi bakteri;infeksi disebabkan oleh bakteri;[];[]
infeksi bakteri;infeksi bakteri anaerob sensitif;[];[]
infeksi bakteri;infeksi bakteri pada lipatan kulit;[];[]
infeksi genital;infeksi anogenital urethral;[];[]
infeksi genital;infeksi anogenital;[];[]
infeksi genital;infeksi genital;[];[]
infeksi gigi;infeksi gigi;[];[]
infeksi ginjal;pielonefritis;[];[]
infeksi ginjal;infeksi pada ginjal;[];[]
infeksi ginjal;pielonefritis infeksi ginjal akut;[];[]
infeksi ginjal;pyelonephritis;['pyelonephritis akut'];['pyelonephritis akut']
infeksi ginjal;infeksi ginjal;[];[]
infeksi ginjal;pielonefritis akut;[];[]
infeksi helicobacter pylori;infeksi bakteri helicobacter pylorus;[];[]
infeksi jamur;infeksi jamur pada kulit kulit kepala dan kuku;[];[]
infeksi jamur;fungi;[];[]
infeksi jamur;infeksi jamur pada kulit dengan inflamasiperadangan;[];[]
infeksi jamur;infeksi jamur tubuh;[];[]
infeksi jamur;infeksi jamur sistemik;[];[]
infeksi jamur;infeksi jamur ringworm kulit  rambut kuku disebabkan microsporum  epidermophyton trichophyton;[];[]
infeksi jamur;infeksi jamur;[];[]
infeksi jamur;infeksi jamur ring worm kulit;[];[]
infeksi jamur;infeksi fungi;[];[]
infeksi jamur;jamur;[];[]
infeksi jamur;infeksi jamur kulit dengan inflamasiperadangan;[];[]
infeksi jamur;infeksi akibat jamur;[];[]
infeksi jamur;infeksi jamur kandidiasis;[];[]
infeksi jamur;infeksi jamur ring  worm kulit;[];[]
infeksi jamur;infeksi jamur fungi;[];[]
infeksi jamur;infeksi jamur ringworm kulit rambut kuku disebabkan microsporum epidermophyton trichophyton;[];[]
infeksi jamur;infeksi jamur kulit kulit kepala kuku;[];[]
infeksi jamur;profilaksis infeksi jamur;[];[]
infeksi jamur;infesi jamur;[];[]
infeksi jamur kuku;infeksi jamur kuku;[];[]
infeksi jamur kuku;infeksi jamur pada kuku;[];[]
infeksi jamur kulit;infeksi dermatofita kulit kuku tangan;[];[]
infeksi jamur kulit;infeksi jamur kulit kuku;[];[]
infeksi jamur kulit;dermatofita;[];[]
infeksi jamur kulit;infeksi jamur kulit;[];[]
infeksi jamur kulit;infeksi jamur pada kulit dan kuku;[];[]
infeksi jamur kulit;infeksi dermatofita kuku kaki;[];[]
infeksi jamur kulit;infeksi kuku kulit dermatofita;[];[]
infeksi jamur kulit;infeksi jamur kulit kepala;[];[]
infeksi jamur kulit;infeksi dermatofit;[];[]
infeksi jamur kulit;infeksi jamur pada kulit;[];[]
infeksi jamur kulit;infeksi jamur lipatan kulit;[];[]
infeksi jamur kulit;dermatofit;[];[]
infeksi jamur kulit;infeksi di kulit  jaringan lunak;[];[]
infeksi jamur rambut;infeksi jamur rambut;[];[]
infeksi kuku;infeksi kuku;[];[]
infeksi kulit;infeksi kulit lain;[];[]
infeksi kulit;infeksi pada kulit;[];[]
infeksi kulit;infeksi kuku kulit;[];[]
infeksi kulit;infeksi kulit struktur kulit komplikasi;[];[]
infeksi kulit;infeksi sekunder pyoderma;[];[]
infeksi kulit;infeksi kulit jaringan lunak tanpa komplikasi;[];[]
infeksi kulit;infeksi serius jaringan lunak kulit;[];[]
infeksi kulit;pioderma dermatitis infeksi sekunder;[];[]
infeksi kulit;infeksi kulit struktur kulit ringan terkomplikasi;[];[]
infeksi kulit;infeksi kulit dan strukturnya tanpa komplikasi;[];[]
infeksi kulit;infeksi kulit lain organisme peka terhadap kloramfenikol;[];[]
infeksi kulit;infeksi kulit struktur kulit tak terkomplikasi;[];[]
infeksi kulit;infeksi kulit sekunder;[];[]
infeksi kulit;infeksi kulit struktur kulit;[];[]
infeksi kulit;infeksi kulit kepala;[];[]
infeksi kulit;pioderma primer sekunder;[];[]
infeksi kulit;pyoderma;[];[]
infeksi kulit;infeksi kulit struktur kulit terkomplikasi;[];[]
infeksi kulit;infeksi jaringan lunak kulit;[];[]
infeksi kulit;infeksi kulit jar lunak terkomplikasi;[];[]
infeksi kulit;infeksi jar lunak;[];[]
infeksi kulit;infeksi kulit termasuk herpes genital rekuren dan herpes labialis;[];[]
infeksi kulit;lesi kulit dengan infeksi primer sekunder oleh bakteri streptokokus;[];[]
infeksi kulit;infeksi kulit dan membran mukosa lokal;[];[]
infeksi kulit;infeksi kulit primer maupun sekunder;[];[]
infeksi kulit;lesi kulit traumatik infeksi sekunder;[];[]
infeksi kulit;infeksi struktur kulit;[];[]
infeksi kulit;infeksi kulit dan jaringan lunak;[];[]
infeksi kulit;infeksi kulit dan jaringan lunak tanpa komplikasi;[];[]
infeksi kulit;infeksi mikotik kulit;[];[]
infeksi kulit;infeksi kulit  jaringan lunak;[];[]
infeksi kulit;struktur kulit infeksi;[];[]
infeksi kulit;infeksi kulit dan struktur kulit tak terkomplikasi;[];[]
infeksi kulit;infeksi kulit strukturnya tanpa komplikasi;[];[]
infeksi kulit;infeksi kulit dan membran mukosa luar;[];[]
infeksi kulit;mikosis kulit lain;[];[]
infeksi kulit;pioderma gangrenosa;[];[]
infeksi kulit;infeksi sekunder luka terbuka;[];[]
infeksi kulit;terapi infeksi kulit;[];[]
infeksi kulit;infeksi kulit lain karena organisme yang peka terhadap kloramfenikol;[];[]
infeksi kulit;infeksi kulit membran mukosa lokal;[];[]
infeksi kulit;infeksi kulit jaringan lunak;[];[]
infeksi kulit;infeksi kulit primer dan sekunder;[];[]
infeksi kulit;infeksi kulit jar lunak;[];[]
infeksi kulit;infeksi kulit struktur kulit tidak terkomplikasi;[];[]
infeksi kulit;infeksi kulit lainnya;[];[]
infeksi kulit;infeksi kulit primer;[];[]
infeksi kulit;infeksi jarang lunak;[];[]
infeksi kulit;infeksi kulit pioderma;[];[]
infeksi kulit;infeksi jaringan;[];[]
infeksi kulit;infeksi kulit termasuk herpes genital rekuren;[];[]
infeksi kulit;infeksi kulit primer sekunder;[];[]
infeksi kulit;infeksi kulit kepala demartitis sebaroik ringan;[];[]
infeksi kulit;infeksi basah kering kulit bayi;[];[]
infeksi kulit;infeksi kulit dan struktur kulit;[];[]
infeksi kulit;infeksi kulit jaringan luka;[];[]
infeksi kulit;infeksi mikotik kulit disebabkan candida albikans;[];[]
infeksi kulit;infeksi kulit jelunak;[];[]
infeksi kulit;pioderma;[];[]
infeksi kulit;infeksi kulit dan jar lunak;[];[]
infeksi kulit;infeksi primer sekunder;[];[]
infeksi kulit;infeksi kulit termasuk herpes genital rekuren herpes labialis;[];[]
infeksi kulit;infeksi kulit mukosa;[];[]
infeksi kulit;infeksi kulit;[];[]
infeksi kulit;infeksi kulit primer akut;[];[]
infeksi kulit;infeksi jaringan lunak;[];[]
infeksi kulit;kulit infeksi;[];[]
infeksi kulit;infeksi sekunder kulit;[];[]
infeksi kulit;kulit jar lunak infeksi serius;[];[]
infeksi kulit;infeksi kulit membran mukosa luar;[];[]
infeksi lambung;infeksi lambung;[];[]
infeksi pasca operasi;infeksi operasi;[];[]
infeksi pasca operasi;luka paska operasi;[];[]
infeksi pasca operasi;infeksi luka operasi;[];[]
infeksi pasca operasi;infeksi operasi esofangeal;[];[]
infeksi pasca operasi;infeksi pasca operasi;[];[]
infeksi mata;infeksi eksternal bola mata struktur terkait;[];[]
infeksi mata;infeksi pada mata;[];[]
infeksi mata;infeksi mata okular;[];[]
infeksi mata;infeksi ocular;[];[]
infeksi mata;infeksi mata eksternal bola mata;[];[]
infeksi mata;infeksi mata;[];[]
infeksi mata;infeksi mata disebabkan oleh bakteri gram negatif;[];[]
infeksi mata;infeksi okular;[];[]
infeksi mata;infeksi eksternal mata;[];[]
infeksi mulut;infeksi mulut;[];[]
infeksi mulut;infeksi rongga mulut;[];[]
infeksi mulut;infeksi jamur dalam rongga mulut;[];[]
infeksi mulut;infeksi jamur fungi rongga mulut tenggorokan;[];[]
infeksi mulut;infeksi jamur rongga mulut;[];[]
infeksi paru-paru;infeksi paru;[];[]
infeksi paru-paru;infeksi paru-paru;[];[]
infeksi pelvis;infeksi pelvis;[];[]
infeksi perut;infeksi perut;[];[]
infeksi protozoa;infeksi protozoa;[];[]
infeksi rahim;infeksi rahim;[];[]
infeksi salmonella;infeksi yang disebabkan oleh salmonella sp;[];[]
infeksi salmonella;infeksi disebabkan salmonella;[];[]
infeksi salmonella;salmonelosis  infeksi urogenital;[];[]
infeksi salmonella;infeksi salmonella;[];[]
infeksi salmonella;salmonella sp;[];[]
infeksi salmonella;infeksi disebabkan oleh salmonella;[];[]
infeksi salmonella;infeksi salmonella sp sp;[];[]
infeksi salmonella;infeksi salmonella sp;[];[]
infeksi salmonella;infeksi disebabkan salmonella sp;[];[]
infeksi salmonella;infeksi yang disebabkan oleh salmonella;[];[]
infeksi salmonella;infeksi salmonella spp;[];[]
infeksi salmonella;salmonelosis;[];[]
infeksi salmonella;infeksi salmonele;[];[]
infeksi salmonella;infeksi disebabkan oleh salmonella sp;[];[]
infeksi salmonella;salmonelosis infeksi urogenital;[];[]
infeksi salmonella;salmonellosis;[];[]
infeksi salmonella;salmonella;[];[]
infeksi saluran kelamin;infeksi kelamin;[];[]
infeksi saluran kelamin;kelamin infeksi;[];[]
infeksi saluran kelamin;infeksi sal kelamin;[];[]
infeksi saluran kemih;isk pielonefritis ringan;[];[]
infeksi saluran kemih;infeksi bakteri saluran kemih;[];[]
infeksi saluran kemih;infeksi saluran urin;[];[]
infeksi saluran kemih;infeksi saluran kencing;[];[]
infeksi saluran kemih;infeksi saluran urogenital;[];[]
infeksi saluran kemih;infeksi sal kemih;[];[]
infeksi saluran kemih;infeksi saluran gl;[];[]
infeksi saluran kemih;infeksi akut non komplikata saluran kemih bagian bawah;[];[]
infeksi saluran kemih;saluran kemih kelamin infeksi kulit jaringan lunak;[];[]
infeksi saluran kemih;kelamin infeksi kulit jaringan lunak;[];[]
infeksi saluran kemih;infeksi saluran genitourinari;[];[]
infeksi saluran kemih;infeksi saluran kemih;[];[]
infeksi saluran kemih;infeksi saluran kemih kompleks complicated urinary tract infection;[];[]
infeksi saluran kemih;infeksi traktus urinarius;[];[]
infeksi saluran kemih;isk terkomplikasi;[];[]
infeksi saluran kemih;infeksi saluran genitourinary;[];[]
infeksi saluran kemih;isk;[];[]
infeksi saluran kemih;infeksi saluran kelamin;[];[]
infeksi saluran kemih;infeksi saluran genitourinaria;[];[]
infeksi saluran kemih;infeksi saluran kemih komplikasi;[];[]
infeksi saluran kemih;infeksi saluran kemih  kelamin;[];[]
infeksi saluran kemih;isk komplikasi;[];[]
infeksi saluran kemih;infeksi pada saluran kemih;[];[]
infeksi saluran kemih;infeksi saluran kemih tanpa komplikasi;[];[]
infeksi saluran kemih;infeksi saluram urinarius;[];[]
infeksi saluran kemih;infeksi saluran kemih kompleks;[];[]
infeksi saluran kemih;komplikasi infeksi saluran kemih;[];[]
infeksi saluran kemih;infeksi saluran kemih dan kelamin;[];[]
infeksi saluran kemih;saluran kemih kelamin infeksi;[];[]
infeksi saluran kemih;infeksi saluran kemih akut;[];[]
infeksi saluran kemih;infeksi traktus genitourinary;[];[]
infeksi saluran kemih;infeksi traktus urinarius pielonefritis;[];[]
infeksi saluran kemih;infeksi saluran kemih kecuali prostatitis;[];[]
infeksi saluran kemih;infeksi saluran kemih kelamin;[];[]
infeksi saluran kemih;infeksi sal urogenital kemih kelamin;[];[]
infeksi saluran kemih;infeksi saluran kemih akut komplikasi;[];[]
infeksi saluran kemih;infeksi saluran urinarius;[];[]
infeksi saluran kemih;saluran kemih organ genital wanita;[];[]
infeksi saluran kemih;infeksi sal gl;[];[]
infeksi saluran kemih;infeksi saluran kemih dengan komplikasi;[];[]
infeksi saluran kemih;infeksi saluran kemih tidak terkomplikasi disebabkan escherichia coli proteus mirabilis;[];[]
infeksi saluran kemih;infeksi urogenital;[];[]
infeksi saluran kemih;isk terkomplikasi pielonefritis akut;[];[]
infeksi saluran kemih;infeksi di saluran kemih;[];[]
infeksi saluran kemih;infeksi saluran kemih bagian bawah;[];[]
infeksi saluran kemih;isk terkomlikasi;[];[]
infeksi saluran kemih;complicated urinary tract infection;[];[]
infeksi saluran pencernaan;infeksi pencernaan;[];[]
infeksi saluran pencernaan;lesi di saluran pencernaan;[];[]
infeksi saluran pencernaan;infeksi intra abdomen;[];[]
infeksi saluran pencernaan;infeksi saluran cerna tifoid paratifoid;[];[]
infeksi saluran pencernaan;infeksi intraabdomen komplikasi;[];[]
infeksi saluran pencernaan;sal cerna tifoid paratifoid;[];[]
infeksi saluran pencernaan;infeksi saluran cerna;[];[]
infeksi saluran pencernaan;proteus mirabilisinfeksi saluran pencernaan;[];[]
infeksi saluran pencernaan;infeksi intraabdomen;[];[]
infeksi saluran pencernaan;infeksi saluran pencernaan;[];[]
infeksi saluran pencernaan;infeksi pernafasan saluran cerna;[];[]
infeksi saluran pencernaan;infeksi gut;[];[]
infeksi saluran pencernaan;infeksi intraabdominal;[];[]
infeksi saluran pencernaan;infeksi sistem pencernaan;[];[]
infeksi saluran pencernaan;infeksi abdomen;[];[]
infeksi saluran pencernaan;lesi saluran pencernaan;[];[]
infeksi saluran pencernaan;infeksi intra abdomen komplikasi;[];[]
infeksi saluran pencernaan;infeksi sal cerna;[];[]
infeksi saluran pencernaan;infeksi intraabdomen dengan komplikasi;[];[]
infeksi saluran pernapasan;tht;[];[]
infeksi saluran pernapasan;infeksi saluran nafas atas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan atas;[];[]
infeksi saluran pernapasan;infeksi saluran napas atas;[];[]
infeksi saluran pernapasan;infeksi saluran napas;[];[]
infeksi saluran pernapasan;infeksi sal;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan atas  bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas akut;[];[]
infeksi saluran pernapasan;infeksi ringan sedang sal nafas bawah atas kulit struktur kulit phs;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan atas dan bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas dan tht;[];[]
infeksi saluran pernapasan;infeksi ringan  sedang sal nafas bawah dan atas kulit dan struktur kulit phs;[];[]
infeksi saluran pernapasan;infeksi saluran nafas kecuali pneumonia strep hemolitikus;[];[]
infeksi saluran pernapasan;infeksi saluran pernfasan bagian atas bawah;[];[]
infeksi saluran pernapasan;infeksi sal nafas;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bagian atas dan bawah;[];[]
infeksi saluran pernapasan;infeksi saluran napas atas bawah;[];[]
infeksi saluran pernapasan;saluran napas akut;[];[]
infeksi saluran pernapasan;infeksi traktus respiratorius;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bawah atas;[];[]
infeksi saluran pernapasan;infeksi saluran napas atas  bawah;[];[]
infeksi saluran pernapasan;sal nafas kecuali pneumonia strep;[];[]
infeksi saluran pernapasan;infeksi saluran pernapasan atas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran nafas kronik;[];[]
infeksi saluran pernapasan;infeksi saluran nafas akut dan khronik;[];[]
infeksi saluran pernapasan;infeksi sal napa;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bawah dan atas;[];[]
infeksi saluran pernapasan;infeksi bakteri saluran pernafasan;[];[]
infeksi saluran pernapasan;infeksi saluran nafas akut khronik;[];[]
infeksi saluran pernapasan;infeksi saluran nafas kulit dan jaringan lunak;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran napa akut kronik;[];[]
infeksi saluran pernapasan;infeksi saluran nafas bagian atas bawah;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan bagian bawah;[];[]
infeksi saluran pernapasan;infeksi saluran pernafasan bagian atas bawah;[];[]
infeksi saluran pernapasan;infeksi sal nafas lainnya;[];[]
